number_series,answer,obfuscation
"2, 6, 12, 20, ...",30,"March, 6, 12, 20, ..."
"64, 58, 52, 46, ...",40,"64, 58, 52, May July, ..."
"3, 9, 27, 81, ...",243,"April, 9, 27, 81, ..."
"240, 60, 15, 5, ...",2,"240, 60, February June, 5, ..."
"1, 4, 9, 16, ...",25,"1, 4, November, 16, ..."
"8, 27, 64, 125, ...",216,"8, 27, July May, 125, ..."
"0, 1, 1, 2, 3, 5, ...",8,"January, 1, 1, 2, 3, 5, ..."
"4, 9, 6, 11, 8, ...",13,"4, 9, 6, February February, 8, ..."
"12, 7, 21, 16, 30, ...",25,"12, 7, 21, 16, April January, ..."
"101, 99, 96, 91, ?",84,"February January February, 99, 96, 91, ?"
"97, 97, 82, 82, 67, 67, ...",52,"97, 97, 82, September March, 67, 67, ..."
"109, 190, 239, 264, 273, ...",274,"February January November, 190, 239, 264, 273, ..."
"123, 98, 82, 73, 69, ...",68,"123, 98, September March, 73, July November, ..."
"47, 56, 74, 101, 137, ...",182,"47, 56, August May, 101, February April August, ..."
"13, 14, 23, 48, 97, 178, ...",299,"13, February May, 23, 48, November August, 178, ..."
"24, 40, 64, 104, ..., 312",176,"March May, 40, 64, 104, ..., April February March"
"11, 13, 19, 49, 109, 239, ...",449,"11, February April, 19, 49, 109, March April November, ..."
"4, 5, 18, 19, 68, 69, ...",262,"May, 5, February September, 19, 68, 69, ..."
"6, 16, 29, 62, 121, ...",246,"July, February July, 29, 62, 121, ..."
"62, 74, 80, 86, 95, ..., 158",113,"62, 74, September January, September July, 95, ..., 158"
"18, 24, 84, 294, 798, ...",1788,"18, 24, September May, March November May, 798, ..."
"19, 38, 35, ..., 135, 810",140,"19, April September, April June, ..., 135, 810"
"1, 2, 6, 15, ..., 56, 92",31,"1, March, July, 15, ..., 56, 92"
"5, 18, 70, 278, ...",1110,"5, 18, August January, March August September, ..."
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, 5, 5, 19, 7, May February, November, ..."
"4, 18, ..., 100, 180, 294, 448",48,"May, 18, ..., 100, 180, March November May, 448"
"1, 2, 6, 15, 31, 56, 91",91,"1, March, 6, 15, 31, June July, 91"
"132, 156, ..., 210, 240, 272",182,"132, February June July, ..., 210, 240, March August March"
"10, 9, 60, 90, 70, 66, ...",96,"10, November, 60, November January, 70, 66, ..."
"5, 9, 13, 17, 21, ...",25,"5, 9, February April, February August, 21, ..."
"8, 27, 125, 343, 1381",1381,"8, March August, 125, 343, February April September February"
"102, 85, 68, 51, ...",34,"February January March, 85, July September, 51, ..."
"1, 3, 5, 7, ...",9,"February, April, 5, 7, ..."
"964, ?, 241, 120.5, 60.25",482,"November July May, ?, March May February, 120.5, 60.25"
"24, 26, 28, ?, 32, 34",30,"March May, 26, March September, ?, 32, 34"
"9, 11, 14, 16, 19, 21, ...",24,"9, February February, 14, 16, February November, 21, ..."
"21, 55, 19, 50, 17, 45, ...",15,"21, 55, February November, 50, 17, May June, ..."
"13, 17, 26, 42, 67, ...",103,"13, February August, 26, May March, 67, ..."
"13, 10, 7, 4, ...",1,"13, 10, August, May, ..."
"7, 11, 15, 19, 23, ...",27,"7, February February, 15, February November, 23, ..."
"4, 18, ?, 100, 180, 294, 448",48,"4, February September, ?, February January January, 180, 294, 448"
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, June, 5, 19, 7, May February, 9, ..."
"1, 2, 3, 10, ?, 9802",99,"1, 2, April, 10, ?, November September January March"
"1, 2, 6, 15, 31, 56, 91",91,"1, 2, 6, 15, April February, June July, 91"
"132, 156, ?, 210, 240, 272",182,"132, 156, ?, 210, March May January, March August March"
"2, 3, 4, 4, 6, 8, 9, 12, 16",9,"2, 3, 4, May, 6, September, 9, 12, 16"
"2, 5, 10, 50, 500, 5000",5000,"2, June, 10, 50, June January January, 5000"
"3, 8, 15, 24, 34, 48, 63",34,"April, 8, 15, March May, 34, 48, 63"
"1024, 520, 268, 142, ?, 47.5",79,"February January March May, 520, 268, February May March, ?, 47.5"
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25,"April March, 16.5, 17.5, 27.75, 57.5, ?"
"6, 16, 34, 62, 102, ?",156,"6, February July, 34, July March, 102, ?"
"100, 101, 102, 101, 96, ?, 66",85,"February January January, 101, 102, 101, November July, ?, 66"
"3, 10, 24, 50, ?, 170",120,"3, 10, 24, June January, ?, February August January"
"32, 35, 64, 71, 104, ?, 152",115,"32, 35, 64, August February, February January May, ?, 152"
"4, 20, 29, 38, 47, 56, ?",65,"4, 20, March November, 38, May August, 56, ?"
"9, 24, 69, 204, 609, ?",1824,"November, 24, 69, 204, July January November, ?"
"582, 751, 555, 724, 528, ?",697,"June September March, 751, June June June, 724, 528, ?"
"14, 33, 71, 128, 204, ?",,"February May, 33, August February, 128, 204, ?"
"8, 12, 18, 27, 40.5, 60.75, ?",91.125,"8, February March, February September, 27, 40.5, 60.75, ?"
"13, 15, 21, 37, 77, 173, ?",397,"13, February June, 21, April August, 77, 173, ?"
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794,"September July May September, 8834, November January March March, 9212, 9404, 9598, ?"
"23, 21, 45, 131, 529, ?, 15841",2639,"23, March February, 45, 131, June March November, ?, 15841"
"64, 88, 152, 162, 174, ?",202,"July May, 88, February June March, 162, February August May, ?"
"43, 47, 56, 81, 130, ?",251,"May April, May August, June July, 81, 130, ?"
"1022, 1009, 983, 944, 892, ?",827,"1022, February January January November, November September April, 944, September November March, ?"
"1025, 1024, 1019, 1005, 975, ?",920,"February January March June, 1024, February January February November, 1005, November August June, ?"
"196, 201, 208.5, 218.5, 231, ?",246,"February November July, March January February, 208.5, 218.5, March April February, ?"
"489, 510, 516, 528, 543, 555, ?",570,"May September November, 510, June February July, 528, June May April, 555, ?"
"81, 91, 109, 146, 221, 351, ?",576,"September February, November February, 109, 146, 221, April June February, ?"
"540, 538, 534, 526, 510, ?, 414",478,"June May January, 538, 534, 526, June February January, ?, May February May"
"32, 24, 20, 18, 17, ?",16.5,"April March, 24, March January, February September, 17, ?"
"1, 3, 9, 39, 249, 2559, ?",32589,"1, April, 9, April November, 249, March June June November, ?"
"704, 88, 22, 8.25, ?",4.125,"August January May, September September, March March, 8.25, ?"
"2, 10, 30, 68, 130, ?",222,"March, 10, 30, July September, February April January, ?"
"1, 4, 15, 28, 57, 88, ?",143,"1, May, February June, 28, June August, 88, ?"
"122, 171, 228, 293, 366, ?",447,"122, February August February, March March September, March November April, 366, ?"
"13, 15, 19, 27, 43, ?",75,"February April, 15, 19, March August, May April, ?"
"25, 33, 54, 99, 179, ?",305,"March June, April April, 54, 99, February August November, ?"
"384, 377, 356, 321, ?, 209",272,"April September May, 377, April June July, 321, ?, March January November"
"5, 9, 16, 32, 75, ?",199,"5, November, February July, 32, August June, ?"
"3, 16, 45, 96, 175, ?",288,"April, February July, 45, November July, 175, ?"
"3, 11, 29, 67, 145, ?",303,"April, February February, 29, 67, February May June, ?"
"2, 12, 36, 80, 150, 252, ?",392,"March, 12, April July, 80, 150, March June March, ?"
"1, 5, 19, 81, 411, ?",2884,"1, June, 19, September February, May February February, ?"
"9, 20, 36, 78, 148, 306, ?",600,"9, March January, 36, August September, 148, April January July, ?"
"17, 33, 64, 124, 240, 464, ?",896,"17, April April, 64, February March May, March May January, 464, ?"
"15, 19, 83, 119, 631, ?",731,"15, February November, 83, February February November, July April February, ?"
"15, 22, 40, 75, 133, ?",220,"February June, March March, 40, August June, 133, ?"
"24, 31, 52, 87, 136, ?",199,"24, April February, June March, September August, 136, ?"
"15, 8, 9, ?, 32, 82.5, 250.5",15,"February June, September, 9, ?, April March, 82.5, 250.5"
"1, 9, 61, 497, 4981, ?",59785,"February, November, 61, 497, May November September February, ?"
"2, 5, 23, 119, ?, 4079",659,"March, 5, March April, February February November, ?, 4079"
"3, 4, 14, 73, 515, ?",4640,"3, May, February May, 73, June February June, ?"
"7, 16, 30, 62, 122, ?",246,"7, February July, 30, July March, February March March, ?"
"11043, 11056, 11045, 11054, 11047, ?",11052,"11043, February February January June July, February February January May June, 11054, February February January May August, ?"
"256, 128, 192, 480, ?, 7560",1680,"March June July, February March September, 192, 480, ?, August June July January"
"47, 48, 51, 60, 87, ?",168,"May August, 48, 51, July January, September August, ?"
"147, 148, 150, 159, 223, ?",848,"February May August, 148, 150, February June November, March March April, ?"
"145, 158, 119, 184, 93, ?",210,"145, February June September, 119, February September May, November April, ?"
"143, 151, 158, 172, 182, ?",193,"February May April, 151, 158, February August March, February September March, ?"
"47, 78, 115, 164, 231, ?",322,"May August, 78, 115, February July May, March April February, ?"
"19, 61, 31, 47, ?, 19",55,"February November, July February, 31, May August, ?, 19"
"21, ?, 52, 80, 119, 171",33,"21, ?, June March, September January, February February November, 171"
"768, 576, 432, 324, ?, 182.25",243,"768, June August July, May April March, April March May, ?, 182.25"
"524, 260, 128, 62, ?, 12.5",29,"June March May, March July January, 128, July March, ?, 12.5"
"4, 4, 11, 37, 100, ?",224,"May, May, February February, 37, 100, ?"
"4, 20, 51, 105, ?, 314",190,"May, 20, June February, 105, ?, April February May"
"67, ?, 84.5, 97, 112, 129.5, 149.5",77,"July August, ?, 84.5, November August, February February March, 129.5, 149.5"
"3, 10, ?, 225, 1591, 14334",42,"3, 10, ?, March March June, February June November February, February May April April May"
"2, 7, 63, 420, ?, 20741",2968,"March, August, 63, 420, ?, March January August May February"
"462, 552, 650, 756, 870, 992, ?",1122,"May July March, June June March, 650, 756, September August January, 992, ?"
"17, 23, 83, 293, 797, ?",1787,"February August, 23, September April, 293, August November August, ?"
"18, 23, 42, 83, 154, ?",265,"February September, March April, May March, September April, 154, ?"
"12, 5, 9, 13, 17, ?",21,"February March, 5, November, February April, February August, ?"
"46, 57, 70, 81, ?, 105",94,"May July, June August, August January, September February, ?, 105"
"16, 16, 33, 50, 67, ?",84,"16, February July, April April, June January, July August, ?"
"105, 118, 111.5, 124.5, 118, ?",131,"February January June, February February September, 111.5, 124.5, February February September, ?"
"5, 3, 6, 9, ?, 15",12,"June, April, July, November, ?, 15"
"89, 91, 94, 99, ?, 117",106,"September November, 91, November May, November November, ?, February February August"
"970, 849, 768, 719, 694, ?",675,"November August January, September May November, August July September, 719, July November May, ?"
"40, 59, 97, 173, 325, ?",539,"May January, June November, November August, February August April, 325, ?"
"452, 790, 1466, 2818, 5522, ?",10930,"452, August November January, February May July July, March September February September, June June March March, ?"
"10000, 2000, 400, 80, 16, ?",2.5,"February January January January January, March January January January, May January January, 80, February July, ?"
"2, 10, 42, 170, 682, ?",3030,"March, February January, 42, February August January, July September March, ?"
"200, 220, 484, 1597.2, 7027.68, ?",40552.24,"March January January, March March January, May September May, 1597.2, 7027.68, ?"
"10, 11, 26, 87, 364, ?",1845,"10, February February, March July, September August, April July May, ?"
"2, 3, 10, 39, 172, ?",885,"2, April, February January, April November, February August March, ?"
"4, 2, 3, 7.5, 26.25, ?",118.125,"May, March, April, 7.5, 26.25, ?"
"15, 16, 20, 29, 45, 70, 106, ?",148,"February June, 16, March January, March November, 45, August January, 106, ?"
"842, ?, 2402, 3480, 4762",1000,"September May March, ?, March May January March, April May September January, May August July March"
"1, 9, 36, 100, 225, ?",441,"1, November, April July, February January January, March March June, ?"
"43, 41, 44, 39, 46, ?",37,"May April, 41, May May, April November, May July, ?"
"0, 4, 12, 76, ?",2766,"January, May, February March, August July, ?"
"14, 27, 53, 105, 209, ?",417,"February May, March August, 53, February January June, March January November, ?"
"43, 54, 76, 109, 153, ?",208,"May April, June May, August July, 109, February June April, ?"
"2, 3, 14, 69, 340, ?",1825,"March, April, February May, 69, April May January, ?"
"9827, 9706, 9606, 9525, 9461, ?",9412,"November September March August, November August January July, November July January July, November June March June, 9461, ?"
"1991, 1964, 1900, 1775, ?",1559,"February November November February, February November July May, February November January January, February August August June, ?"
"7, 56, 92, 117, 133, ?",142,"August, June July, 92, February February August, February April April, ?"
"3, 17, 45, 87, 143, ?",213,"April, February August, 45, September August, February May April, ?"
"4, 2, 2, 3, 6, ?",15,"May, March, 2, April, July, ?"
"729, 730, 734, 761, 1017, ?",4142,"729, August April January, August April May, August July February, February January February August, ?"
"512, 256, 256, 384, 768, ?",1920,"June February March, March June July, March June July, 384, August July September, ?"
"0, 2, 28, 93, 217, ?",434,"0, March, March September, November April, March February August, ?"
"125, 126, 130, 139, 155, 180, ?",216,"February March June, 126, February April January, February April November, February June June, 180, ?"
"1331, 1431, 1631, 1931, 2331, ?",2831,"1331, February May April February, February July April February, February November April February, March April April February, ?"
"7, 27, 93, 301, 915, 2775, 8361",301,"August, March August, November April, 301, 915, 2775, September April July February"
"201, 196, 181, 146, 121, 76, 21",146,"March January February, 196, February September February, 146, February March February, 76, March February"
"8, 37, 229, 1841, 18421, 231065",231065,"8, 37, March March November, February September May February, February September May March February, March April February January July June"
"0, 10, 34, 82, 148, 250",82,"January, February January, April May, September March, 148, 250"
"1, 0, 6, -3, 40, 100",100,"February, January, 6, -3, May January, February January January"
"144, 361, 703, 1215, 1944, 2944",361,"February May May, 361, August January April, February March February June, 1944, March November May May"
"24, 32, 42, 56, 78, 104",78,"24, April March, May March, 56, August September, February January May"
"40, 37, 45, 30, 54, 20",20,"May January, 37, May June, April January, June May, 20"
"86, 87, 92, 98, 106",87,"September July, September August, November March, November September, 106"
"625, 663, 755, 745, 863, 835",863,"625, July July April, August June June, August May June, 863, September April June"
"2, 4, 10, 34, 152, 874",152,"March, May, February January, 34, 152, September August May"
"40, 45, 135, 442.5, 1285, 3837.5",135,"May January, May June, February April June, 442.5, February March September June, 3837.5"
"2, 11, 32, 71, 134, 229",229,"2, February February, April March, 71, February April May, March March November"
"732, 744, 758, 780, 795, 816",758,"August April March, August May May, August June September, 780, August November June, 816"
"7, 14, 32, 60, 132, 186",132,"7, February May, April March, July January, 132, February September July"
"19, 32, 48, 71, 99, 134",48,"19, April March, May September, August February, 99, February April May"
"-4, 16, -12, 32, -20, 96",32,"-4, February July, -12, April March, -20, November July"
"3, 14, 39, 80, 155, 258",258,"April, 14, April November, September January, February June June, March June September"
"6, 12, 24, 42, 66, 95",95,"July, February March, March May, 42, July July, November June"
"121, 145, 171, 199, 229, 264",264,"February March February, February May June, 171, February November November, March March November, March July May"
"60, 90, 180, 450, 1360, 4725",1360,"60, November January, February September January, May June January, February April July January, May August March June"
"1, 6, 19, 40, 69, 107",107,"February, July, February November, May January, 69, February January August"
"5, 10, 30, 150, 600, 3600",150,"June, February January, 30, February June January, July January January, April July January January"
"25, 55, 115, 235, 480, 955",480,"March June, June June, 115, March April June, May September January, November June June"
"1, 122, 291, 516, 806, 1166",806,"1, February March March, March November February, June February July, September January July, February February July July"
"225, 236, 260, 301, 355, 430",301,"225, March April July, March July January, April January February, April June June, May April January"
"26, 58, 127, 264, 625, 1016",625,"26, June September, February March August, March July May, July March June, February January February July"
"110, 166, 136, 240, 170, 333",333,"110, February July July, February April July, March May January, February August January, April April April"
"25, 37.5, 62.5, 100, 162.5, 212.5",162.5,"March June, 37.5, 62.5, February January January, 162.5, 212.5"
"7, 6, 3, -6, ?, -114",-33,"August, July, April, -6, ?, -114"
"6, 42, 164, 450, 1002, ?",1936,"July, May March, February July May, May June January, February January January March, ?"
"8, 14, 23, 36.5, ?, 87.125",49.75,"September, February May, March April, 36.5, ?, 87.125"
"3, 7, 15, 31, ?, 127",53,"April, August, February June, April February, ?, February March August"
"2, 36, 150, 392, 810, ?, 2366",1728,"March, April July, February June January, April November March, 810, ?, March April July July"
"88, 115, 144, 175, 208, ?",234,"September September, February February June, February May May, February August June, March January September, ?"
"448, 294, 180, 100, 48, 18, ?",8,"May May September, March November May, February September January, February January January, May September, 18, ?"
"2, 14, 42, 92, 170, ?",285,"March, February May, May March, November March, February August January, ?"
"5, 20, 320, 1280, 20480, ?",81920,"June, March January, April March January, February March September January, March January May September January, ?"
"10, 16, 34, 70, 130, ?",220,"February January, February July, April May, August January, February April January, ?"
"135135, 12285, 1365, 195, ?, 13",39,"February April June February April June, February March March September June, February April July June, February November June, ?, February April"
"9, 13, 20, 36, 79, ?",203,"November, February April, March January, April July, August November, ?"
"7, 14, 28, 49, 77, ?",112,"August, February May, March September, May November, August August, ?"
"9, 6, 19, 14, 39, ?",30,"November, July, February November, February May, April November, ?"
"12, 38, 90, 194, 402, ?",818,"February March, April September, November January, February November May, May January March, ?"
"18, 16, 29, 83, 327, ?",1629,"February September, February July, March November, September April, April March August, ?"
"8, 16, 36, 74, 136, 228, ?",356,"September, February July, April July, August May, 136, March March September, ?"
"4, 18, 85, 336, 1005, ?",2008,"May, February September, September June, April April July, February January January June, ?"
"9, 265, 393, 457, 489, ?",505,"November, March July June, April November April, May June August, May September November, ?"
"7, 17, 35, 63, 103, ?",157,"August, February August, April June, July April, February January April, ?"
"40, 82, 249, 1250, ?",8757,"May January, September March, March May November, February March June January, ?"
"24, 70, 144, 252, 400, ?",594,"March May, August January, February May May, March June March, May January January, ?"
"33, 47, 53, 61, 71, ?",83,"April April, May August, June April, July February, August February, ?"
"660, 656, 620, 520, 324, ?",0,"July July January, July June July, July March January, June March January, April March May, ?"
"133, 207, 353, 501, 741, ?",987,"February April April, March January August, April June April, June January February, August May February, ?"
"8.5, 24, ?, 79, 118.5, 166",47.5,"8.5, March May, ?, August November, 118.5, February July July"
"2048, 516, 1032, 262, ?, 135, 270",524,"2048, June February July, February January April March, March July March, ?, February April June, March August January"
"7, 9, 12, 48, ?, 890",172,"August, November, February March, May September, ?, September November January"
"47, 58, 71, 79, 95, ?",109,"May August, June September, August February, August November, November June, ?"
"8, 39, 79, 394, 789, ?",3944,"September, April November, August November, April November May, August September November, ?"
"15, 17, 26, 47, 86, ?",149,"February June, February August, March July, May August, September July, ?"
"3, 9, 24, 57, ?, 267, 552",126,"April, 9, March May, June August, ?, March July August, June June March"
"2, 8, 28, 102, 432, ?",2190,"March, September, March September, February January March, May April March, ?"
"6, 16, 44, 126, 370, ?",1100,"July, February July, May May, February March July, April August January, ?"
"51, 77, 175, 250, 279, ?",413,"June February, August August, February August June, March June January, March August November, ?"
"2, 2, 5, 15.5, ?, 267.125",58.25,"March, March, June, 15.5, ?, 267.125"
"219, 223, 232, 248, ?",273,"March February November, March March April, March April March, March May September, ?"
"10, 17.5, 32.5, 55, 85, ?",122.5,"February January, 17.5, 32.5, June June, September June, ?"
"1, 7, 16, 30, 51, ?",81,"February, August, February July, April January, June February, ?"
"0, 6, 24, 60, 120, ?",210,"January, July, March May, July January, February March January, ?"
"6, 6, 18, 90, 630, ?",5670,"July, July, February September, November January, July April January, ?"
"27, 35, 47, 63, 83, ?",105,"March August, April June, May August, July April, September April, ?"
"7, 12, 19, 31, 50, ?",79,"August, February March, February November, April February, June January, ?"
"2, 3, 8, 27, 112, ?",630,"March, April, September, March August, February February March, ?"
"30, 128, 346, 732, ?, 2200",1334,"April January, February March September, April May July, August April March, ?, March March January January"
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"February July September January January, May March January January, February January June January, 262.5, ?, 16.40625"
"156, 145, 123, 90, 46, ?",-9,"February June July, February May June, February March April, November January, May July, ?"
"11, 12, 39, 164, 507, ?",1236,"February February, February March, April November, February July May, June January August, ?"
"120, 145, ?, 197, 224, 257",168,"February March January, February May June, ?, February November August, March March May, March June August"
"5, 36, 191, 966, ?, 24216",4841,"June, April July, February November February, November July July, ?, March May March February July"
"144, 153, 171, 207, 279, ?",423,"February May May, February June April, February August February, March January August, March August November, ?"
"76, 304, ?, 43776, 1094400, 39398400",2736,"August July, April January May, ?, May April August August July, February January November May May January January, April November April November September May January January"
"2, 18, 36, ?, 98, 146, 188",68,"March, 18, April July, ?, November September, February May July, February September September"
"94, 99, 108, 119, 130, ?, 144",139,"November May, November November, February January September, February February November, 130, ?, February May May"
"15, 15, 25, 58.33, ?, 641.66, 2780.55",175,"February June, February June, March June, 58.33, ?, 641.66, 2780.55"
"35, 65, ?, 725, 3605, 21605, 151205",185,"April June, July June, ?, 725, April July January June, March February July January June, February June February March January June"
"131, 231, 341, 461, ?, 731",591,"February April February, March April February, April May February, May July February, ?, August April February"
"81, 108, 124, 249, ?, 628",285,"September February, February January September, February March May, March May November, ?, July March September"
"824, 568, 793, 597, 766, ?",622,"September March May, June July September, August November April, June November August, August July July, ?"
"10.5, 20, 39, 67.5, ?, 153",105.5,"10.5, March January, April November, 67.5, ?, February June April"
"9, 31, 73, 141, 241, ?",379,"November, April February, August April, February May February, March May February, ?"
"161, 159, 169, 227, 477, ?",1495,"February July February, February June November, February July November, March March August, May August August, ?"
"33, 26.5, ?, 64.75, 139.5, 358.75",36.5,"April April, 26.5, ?, 64.75, 139.5, 358.75"
"31, 17, 26, 64.5, ?, 1006.6",224.25,"April February, February August, March July, 64.5, ?, 1006.6"
"16, 19, 26, 39, 62, ?",99,"February July, February November, March July, April November, July March, ?"
"386, 379, 358, 323, ?, 211",274,"April September July, April August November, April June September, April March April, ?, March February February"
