number_series,answer,obfuscation
"4, 6, 9, 14, 21, ...",32,"4, 6, 9, 14, c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, ..."
"3, 4, 7, 8, 11, 12, ...","15,16","3, 4, 8f14e45fceea167a5a36dedd4bea2543, 8, 11, 12, ..."
"2, 3, 12, 37, 86, 166, 288, ...",166,"2, 3, 12, 37, 86, 166, c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d c9f0f895fb98ab9159f51fd0297e236d, ..."
"81, 101, 121, ...",145,"c9f0f895fb98ab9159f51fd0297e236d c4ca4238a0b923820dcc509a6f75849b, 101, 121, ..."
"11, 121, 15, ...",225,"c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b, 121, 15, ..."
"2, 4, 8, 10, 14, ...",16,"2, 4, 8, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, 14, ..."
"1, 8, 9, 64, ...",25,"1, 8, 45c48cce2e2d7fbdea1afc51c7c6ad26, 64, ..."
"6, 11, 18, 27, ...",38,"6, 11, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, 27, ..."
"3, 4.5, 9, ...",22.5,"eccbc87e4b5ce2fe28308fd9f2a7baf3, 4.5, 9, ..."
"3, 5, 7, 9, 11, ...",13,"3, e4da3b7fbbce2345d7772b0674a318d5, 7, 9, 11, ..."
"1, 7, 37, 187, 937, ...",4687,"1, 7, eccbc87e4b5ce2fe28308fd9f2a7baf3 8f14e45fceea167a5a36dedd4bea2543, 187, 937, ..."
"1, 5, 19, 81, ...",411,"c4ca4238a0b923820dcc509a6f75849b, 5, 19, 81, ..."
"2, 6, 12, 20, ...",30,"c81e728d9d4c2f636f067f89cc14862c, 6, 12, 20, ..."
"64, 58, 52, 46, ...",40,"64, 58, 52, a87ff679a2f3e71d9181a67b7542122c 1679091c5a880faf6fb5e6087eb1b2dc, ..."
"3, 9, 27, 81, ...",243,"eccbc87e4b5ce2fe28308fd9f2a7baf3, 9, 27, 81, ..."
"240, 60, 15, 5, ...",2,"240, 60, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5, 5, ..."
"1, 4, 9, 16, ...",25,"1, 4, 45c48cce2e2d7fbdea1afc51c7c6ad26, 16, ..."
"8, 27, 64, 125, ...",216,"8, 27, 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, 125, ..."
"0, 1, 1, 2, 3, 5, ...",8,"cfcd208495d565ef66e7dff9f98764da, 1, 1, 2, 3, 5, ..."
"4, 9, 6, 11, 8, ...",13,"4, 9, 6, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b, 8, ..."
"12, 7, 21, 16, 30, ...",25,"12, 7, 21, 16, eccbc87e4b5ce2fe28308fd9f2a7baf3 cfcd208495d565ef66e7dff9f98764da, ..."
"101, 99, 96, 91, ?",84,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c4ca4238a0b923820dcc509a6f75849b, 99, 96, 91, ?"
"97, 97, 82, 82, 67, 67, ...",52,"97, 97, 82, c9f0f895fb98ab9159f51fd0297e236d c81e728d9d4c2f636f067f89cc14862c, 67, 67, ..."
"109, 190, 239, 264, 273, ...",274,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da 45c48cce2e2d7fbdea1afc51c7c6ad26, 190, 239, 264, 273, ..."
"123, 98, 82, 73, 69, ...",68,"123, 98, c9f0f895fb98ab9159f51fd0297e236d c81e728d9d4c2f636f067f89cc14862c, 73, 1679091c5a880faf6fb5e6087eb1b2dc 45c48cce2e2d7fbdea1afc51c7c6ad26, ..."
"47, 56, 74, 101, 137, ...",182,"47, 56, 8f14e45fceea167a5a36dedd4bea2543 a87ff679a2f3e71d9181a67b7542122c, 101, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 8f14e45fceea167a5a36dedd4bea2543, ..."
"13, 14, 23, 48, 97, 178, ...",299,"13, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c, 23, 48, 45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543, 178, ..."
"24, 40, 64, 104, ..., 312",176,"c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, 40, 64, 104, ..., eccbc87e4b5ce2fe28308fd9f2a7baf3 c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c"
"11, 13, 19, 49, 109, 239, ...",449,"11, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3, 19, 49, 109, c81e728d9d4c2f636f067f89cc14862c eccbc87e4b5ce2fe28308fd9f2a7baf3 45c48cce2e2d7fbdea1afc51c7c6ad26, ..."
"4, 5, 18, 19, 68, 69, ...",262,"a87ff679a2f3e71d9181a67b7542122c, 5, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, 19, 68, 69, ..."
"6, 16, 29, 62, 121, ...",246,"1679091c5a880faf6fb5e6087eb1b2dc, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, 29, 62, 121, ..."
"62, 74, 80, 86, 95, ..., 158",113,"62, 74, c9f0f895fb98ab9159f51fd0297e236d cfcd208495d565ef66e7dff9f98764da, c9f0f895fb98ab9159f51fd0297e236d 1679091c5a880faf6fb5e6087eb1b2dc, 95, ..., 158"
"18, 24, 84, 294, 798, ...",1788,"18, 24, c9f0f895fb98ab9159f51fd0297e236d a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c 45c48cce2e2d7fbdea1afc51c7c6ad26 a87ff679a2f3e71d9181a67b7542122c, 798, ..."
"19, 38, 35, ..., 135, 810",140,"19, eccbc87e4b5ce2fe28308fd9f2a7baf3 c9f0f895fb98ab9159f51fd0297e236d, eccbc87e4b5ce2fe28308fd9f2a7baf3 e4da3b7fbbce2345d7772b0674a318d5, ..., 135, 810"
"1, 2, 6, 15, ..., 56, 92",31,"1, c81e728d9d4c2f636f067f89cc14862c, 1679091c5a880faf6fb5e6087eb1b2dc, 15, ..., 56, 92"
"5, 18, 70, 278, ...",1110,"5, 18, 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da, c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543 c9f0f895fb98ab9159f51fd0297e236d, ..."
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, 5, 5, 19, 7, a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b, 45c48cce2e2d7fbdea1afc51c7c6ad26, ..."
"4, 18, ..., 100, 180, 294, 448",48,"a87ff679a2f3e71d9181a67b7542122c, 18, ..., 100, 180, c81e728d9d4c2f636f067f89cc14862c 45c48cce2e2d7fbdea1afc51c7c6ad26 a87ff679a2f3e71d9181a67b7542122c, 448"
"1, 2, 6, 15, 31, 56, 91",91,"1, c81e728d9d4c2f636f067f89cc14862c, 6, 15, 31, e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, 91"
"132, 156, ..., 210, 240, 272",182,"132, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, ..., 210, 240, c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543 c81e728d9d4c2f636f067f89cc14862c"
"10, 9, 60, 90, 70, 66, ...",96,"10, 45c48cce2e2d7fbdea1afc51c7c6ad26, 60, 45c48cce2e2d7fbdea1afc51c7c6ad26 cfcd208495d565ef66e7dff9f98764da, 70, 66, ..."
"5, 9, 13, 17, 21, ...",25,"5, 9, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, 21, ..."
"8, 27, 125, 343, 1381",1381,"8, c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543, 125, 343, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 c9f0f895fb98ab9159f51fd0297e236d c4ca4238a0b923820dcc509a6f75849b"
"102, 85, 68, 51, ...",34,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c, 85, 1679091c5a880faf6fb5e6087eb1b2dc c9f0f895fb98ab9159f51fd0297e236d, 51, ..."
"1, 3, 5, 7, ...",9,"c4ca4238a0b923820dcc509a6f75849b, eccbc87e4b5ce2fe28308fd9f2a7baf3, 5, 7, ..."
"964, ?, 241, 120.5, 60.25",482,"45c48cce2e2d7fbdea1afc51c7c6ad26 1679091c5a880faf6fb5e6087eb1b2dc a87ff679a2f3e71d9181a67b7542122c, ?, c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b, 120.5, 60.25"
"24, 26, 28, ?, 32, 34",30,"24, 26, c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, ?, eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c, 34"
"9, 11, 14, 16, 19, 21, ...",24,"45c48cce2e2d7fbdea1afc51c7c6ad26, 11, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c, 16, 19, 21, ..."
"21, 55, 19, 50, 17, 45, ...",15,"21, e4da3b7fbbce2345d7772b0674a318d5 e4da3b7fbbce2345d7772b0674a318d5, 19, 50, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, 45, ..."
"13, 17, 26, 42, 67, ...",103,"13, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543, c81e728d9d4c2f636f067f89cc14862c 1679091c5a880faf6fb5e6087eb1b2dc, 42, 67, ..."
"13, 10, 7, 4, ...",1,"13, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, 7, a87ff679a2f3e71d9181a67b7542122c, ..."
"7, 11, 15, 19, 23, ...",27,"7, c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b, 15, c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 23, ..."
"4, 18, ?, 100, 180, 294, 448",48,"4, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, ?, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, 180, 294, 448"
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, e4da3b7fbbce2345d7772b0674a318d5, 5, 19, 7, a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b, 9, ..."
"1, 2, 3, 10, ?, 9802",99,"1, 2, eccbc87e4b5ce2fe28308fd9f2a7baf3, 10, ?, 45c48cce2e2d7fbdea1afc51c7c6ad26 c9f0f895fb98ab9159f51fd0297e236d cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c"
"1, 2, 6, 15, 31, 56, 91",91,"1, 2, 6, 15, eccbc87e4b5ce2fe28308fd9f2a7baf3 c4ca4238a0b923820dcc509a6f75849b, e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, 91"
"132, 156, ?, 210, 240, 272",182,"132, 156, ?, 210, c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c cfcd208495d565ef66e7dff9f98764da, c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543 c81e728d9d4c2f636f067f89cc14862c"
"2, 3, 4, 4, 6, 8, 9, 12, 16",9,"2, 3, 4, a87ff679a2f3e71d9181a67b7542122c, 6, c9f0f895fb98ab9159f51fd0297e236d, 9, 12, 16"
"2, 5, 10, 50, 500, 5000",5000,"2, e4da3b7fbbce2345d7772b0674a318d5, 10, 50, e4da3b7fbbce2345d7772b0674a318d5 cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, 5000"
"3, 8, 15, 24, 34, 48, 63",34,"eccbc87e4b5ce2fe28308fd9f2a7baf3, 8, 15, c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, 34, 48, 63"
"1024, 520, 268, 142, ?, 47.5",79,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, 520, 268, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c c81e728d9d4c2f636f067f89cc14862c, ?, 47.5"
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25,"eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c, 16.5, 17.5, 27.75, 57.5, ?"
"6, 16, 34, 62, 102, ?",156,"6, c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, 34, 62, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c, ?"
"100, 101, 102, 101, 96, ?, 66",85,"100, 101, 102, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c4ca4238a0b923820dcc509a6f75849b, 96, ?, 1679091c5a880faf6fb5e6087eb1b2dc 1679091c5a880faf6fb5e6087eb1b2dc"
"3, 10, 24, 50, ?, 170",120,"eccbc87e4b5ce2fe28308fd9f2a7baf3, 10, 24, 50, ?, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da"
"32, 35, 64, 71, 104, ?, 152",115,"32, 35, 64, 8f14e45fceea167a5a36dedd4bea2543 c4ca4238a0b923820dcc509a6f75849b, 104, ?, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c"
"4, 20, 29, 38, 47, 56, ?",65,"4, 20, 29, eccbc87e4b5ce2fe28308fd9f2a7baf3 c9f0f895fb98ab9159f51fd0297e236d, a87ff679a2f3e71d9181a67b7542122c 8f14e45fceea167a5a36dedd4bea2543, 56, ?"
"9, 24, 69, 204, 609, ?",1824,"9, 24, 1679091c5a880faf6fb5e6087eb1b2dc 45c48cce2e2d7fbdea1afc51c7c6ad26, 204, 1679091c5a880faf6fb5e6087eb1b2dc cfcd208495d565ef66e7dff9f98764da 45c48cce2e2d7fbdea1afc51c7c6ad26, ?"
"582, 751, 555, 724, 528, ?",697,"e4da3b7fbbce2345d7772b0674a318d5 c9f0f895fb98ab9159f51fd0297e236d c81e728d9d4c2f636f067f89cc14862c, 751, 555, 724, e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, ?"
"14, 33, 71, 128, 204, ?",,"c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c, 33, 8f14e45fceea167a5a36dedd4bea2543 c4ca4238a0b923820dcc509a6f75849b, 128, 204, ?"
"8, 12, 18, 27, 40.5, 60.75, ?",91.125,"c9f0f895fb98ab9159f51fd0297e236d, 12, c4ca4238a0b923820dcc509a6f75849b c9f0f895fb98ab9159f51fd0297e236d, 27, 40.5, 60.75, ?"
"13, 15, 21, 37, 77, 173, ?",397,"13, 15, c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, eccbc87e4b5ce2fe28308fd9f2a7baf3 8f14e45fceea167a5a36dedd4bea2543, 77, 173, ?"
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794,"8648, c9f0f895fb98ab9159f51fd0297e236d c9f0f895fb98ab9159f51fd0297e236d eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c, 9022, 45c48cce2e2d7fbdea1afc51c7c6ad26 c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c, 9404, 9598, ?"
"23, 21, 45, 131, 529, ?, 15841",2639,"c81e728d9d4c2f636f067f89cc14862c eccbc87e4b5ce2fe28308fd9f2a7baf3, 21, a87ff679a2f3e71d9181a67b7542122c e4da3b7fbbce2345d7772b0674a318d5, 131, 529, ?, 15841"
"64, 88, 152, 162, 174, ?",202,"64, c9f0f895fb98ab9159f51fd0297e236d c9f0f895fb98ab9159f51fd0297e236d, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5 c81e728d9d4c2f636f067f89cc14862c, 162, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 a87ff679a2f3e71d9181a67b7542122c, ?"
"43, 47, 56, 81, 130, ?",251,"a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3, 47, e4da3b7fbbce2345d7772b0674a318d5 1679091c5a880faf6fb5e6087eb1b2dc, c9f0f895fb98ab9159f51fd0297e236d c4ca4238a0b923820dcc509a6f75849b, 130, ?"
"1022, 1009, 983, 944, 892, ?",827,"c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da 45c48cce2e2d7fbdea1afc51c7c6ad26, 983, 944, c9f0f895fb98ab9159f51fd0297e236d 45c48cce2e2d7fbdea1afc51c7c6ad26 c81e728d9d4c2f636f067f89cc14862c, ?"
"1025, 1024, 1019, 1005, 975, ?",920,"1025, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 1005, 45c48cce2e2d7fbdea1afc51c7c6ad26 8f14e45fceea167a5a36dedd4bea2543 e4da3b7fbbce2345d7772b0674a318d5, ?"
"196, 201, 208.5, 218.5, 231, ?",246,"c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26 1679091c5a880faf6fb5e6087eb1b2dc, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da c4ca4238a0b923820dcc509a6f75849b, 208.5, 218.5, c81e728d9d4c2f636f067f89cc14862c eccbc87e4b5ce2fe28308fd9f2a7baf3 c4ca4238a0b923820dcc509a6f75849b, ?"
"489, 510, 516, 528, 543, 555, ?",570,"a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d 45c48cce2e2d7fbdea1afc51c7c6ad26, 510, e4da3b7fbbce2345d7772b0674a318d5 c4ca4238a0b923820dcc509a6f75849b 1679091c5a880faf6fb5e6087eb1b2dc, 528, e4da3b7fbbce2345d7772b0674a318d5 a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3, 555, ?"
"81, 91, 109, 146, 221, 351, ?",576,"c9f0f895fb98ab9159f51fd0297e236d c4ca4238a0b923820dcc509a6f75849b, 91, 109, c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c 1679091c5a880faf6fb5e6087eb1b2dc, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, 351, ?"
"540, 538, 534, 526, 510, ?, 414",478,"540, e4da3b7fbbce2345d7772b0674a318d5 eccbc87e4b5ce2fe28308fd9f2a7baf3 c9f0f895fb98ab9159f51fd0297e236d, e4da3b7fbbce2345d7772b0674a318d5 eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c, 526, 510, ?, a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b a87ff679a2f3e71d9181a67b7542122c"
"32, 24, 20, 18, 17, ?",16.5,"eccbc87e4b5ce2fe28308fd9f2a7baf3 c81e728d9d4c2f636f067f89cc14862c, c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da, 18, 17, ?"
"1, 3, 9, 39, 249, 2559, ?",32589,"c4ca4238a0b923820dcc509a6f75849b, 3, 9, eccbc87e4b5ce2fe28308fd9f2a7baf3 45c48cce2e2d7fbdea1afc51c7c6ad26, 249, c81e728d9d4c2f636f067f89cc14862c e4da3b7fbbce2345d7772b0674a318d5 e4da3b7fbbce2345d7772b0674a318d5 45c48cce2e2d7fbdea1afc51c7c6ad26, ?"
"704, 88, 22, 8.25, ?",4.125,"8f14e45fceea167a5a36dedd4bea2543 cfcd208495d565ef66e7dff9f98764da a87ff679a2f3e71d9181a67b7542122c, c9f0f895fb98ab9159f51fd0297e236d c9f0f895fb98ab9159f51fd0297e236d, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c, 8.25, ?"
"2, 10, 30, 68, 130, ?",222,"c81e728d9d4c2f636f067f89cc14862c, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, 30, 68, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 cfcd208495d565ef66e7dff9f98764da, ?"
"1, 4, 15, 28, 57, 88, ?",143,"1, a87ff679a2f3e71d9181a67b7542122c, 15, c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, 57, c9f0f895fb98ab9159f51fd0297e236d c9f0f895fb98ab9159f51fd0297e236d, ?"
"122, 171, 228, 293, 366, ?",447,"c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c, 171, c81e728d9d4c2f636f067f89cc14862c c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, c81e728d9d4c2f636f067f89cc14862c 45c48cce2e2d7fbdea1afc51c7c6ad26 eccbc87e4b5ce2fe28308fd9f2a7baf3, 366, ?"
"13, 15, 19, 27, 43, ?",75,"13, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5, c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 27, a87ff679a2f3e71d9181a67b7542122c eccbc87e4b5ce2fe28308fd9f2a7baf3, ?"
"25, 33, 54, 99, 179, ?",305,"25, 33, e4da3b7fbbce2345d7772b0674a318d5 a87ff679a2f3e71d9181a67b7542122c, 45c48cce2e2d7fbdea1afc51c7c6ad26 45c48cce2e2d7fbdea1afc51c7c6ad26, c4ca4238a0b923820dcc509a6f75849b 8f14e45fceea167a5a36dedd4bea2543 45c48cce2e2d7fbdea1afc51c7c6ad26, ?"
