number_series,answer,greek_obfuscation
"3, 5, 5, 19, 7, 41, 9, ...",71,"3, Zeta, 5, 19, 7, Epsilon Beta, 9, ..."
"1, 2, 3, 10, ?, 9802",99,"1, 2, Delta, 10, ?, Kappa Iota Alpha Gamma"
"1, 2, 6, 15, 31, 56, 91",91,"1, 2, 6, 15, Delta Beta, Zeta Eta, 91"
"132, 156, ?, 210, 240, 272",182,"132, 156, ?, 210, Gamma Epsilon Alpha, Gamma Theta Gamma"
"2, 3, 4, 4, 6, 8, 9, 12, 16",9,"2, 3, 4, Epsilon, 6, Iota, 9, 12, 16"
"2, 5, 10, 50, 500, 5000",5000,"2, Zeta, 10, 50, Zeta Alpha Alpha, 5000"
"3, 8, 15, 24, 34, 48, 63",34,"Delta, 8, 15, Gamma Epsilon, 34, 48, 63"
"1024, 520, 268, 142, ?, 47.5",79,"Beta Alpha Gamma Epsilon, 520, 268, Beta Epsilon Gamma, ?, 47.5"
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25,"Delta Gamma, 16.5, 17.5, 27.75, 57.5, ?"
"6, 16, 34, 62, 102, ?",156,"6, Beta Eta, 34, Eta Gamma, 102, ?"
"100, 101, 102, 101, 96, ?, 66",85,"Beta Alpha Alpha, 101, 102, 101, Kappa Eta, ?, 66"
"3, 10, 24, 50, ?, 170",120,"3, 10, 24, Zeta Alpha, ?, Beta Theta Alpha"
"32, 35, 64, 71, 104, ?, 152",115,"32, 35, 64, Theta Beta, Beta Alpha Epsilon, ?, 152"
"4, 20, 29, 38, 47, 56, ?",65,"4, 20, Gamma Kappa, 38, Epsilon Theta, 56, ?"
"9, 24, 69, 204, 609, ?",1824,"Kappa, 24, 69, 204, Eta Alpha Kappa, ?"
"582, 751, 555, 724, 528, ?",697,"Zeta Iota Gamma, 751, Zeta Zeta Zeta, 724, 528, ?"
"14, 33, 71, 128, 204, ?",,"Beta Epsilon, 33, Theta Beta, 128, 204, ?"
"8, 12, 18, 27, 40.5, 60.75, ?",91.125,"8, Beta Gamma, Beta Iota, 27, 40.5, 60.75, ?"
"13, 15, 21, 37, 77, 173, ?",397,"13, Beta Zeta, 21, Delta Theta, 77, 173, ?"
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794,"Iota Eta Epsilon Iota, 8834, Kappa Alpha Gamma Gamma, 9212, 9404, 9598, ?"
"23, 21, 45, 131, 529, ?, 15841",2639,"23, Gamma Beta, 45, 131, Zeta Gamma Kappa, ?, 15841"
"64, 88, 152, 162, 174, ?",202,"Eta Epsilon, 88, Beta Zeta Gamma, 162, Beta Theta Epsilon, ?"
"43, 47, 56, 81, 130, ?",251,"Epsilon Delta, Epsilon Theta, Zeta Eta, 81, 130, ?"
"1022, 1009, 983, 944, 892, ?",827,"1022, Beta Alpha Alpha Kappa, Kappa Iota Delta, 944, Iota Kappa Gamma, ?"
"1025, 1024, 1019, 1005, 975, ?",920,"Beta Alpha Gamma Zeta, 1024, Beta Alpha Beta Kappa, 1005, Kappa Theta Zeta, ?"
"196, 201, 208.5, 218.5, 231, ?",246,"Beta Kappa Eta, Gamma Alpha Beta, 208.5, 218.5, Gamma Delta Beta, ?"
"489, 510, 516, 528, 543, 555, ?",570,"Epsilon Iota Kappa, 510, Zeta Beta Eta, 528, Zeta Epsilon Delta, 555, ?"
"81, 91, 109, 146, 221, 351, ?",576,"Iota Beta, Kappa Beta, 109, 146, 221, Delta Zeta Beta, ?"
"540, 538, 534, 526, 510, ?, 414",478,"Zeta Epsilon Alpha, 538, 534, 526, Zeta Beta Alpha, ?, Epsilon Beta Epsilon"
"32, 24, 20, 18, 17, ?",16.5,"Delta Gamma, 24, Gamma Alpha, Beta Iota, 17, ?"
"1, 3, 9, 39, 249, 2559, ?",32589,"1, Delta, 9, Delta Kappa, 249, Gamma Zeta Zeta Kappa, ?"
"704, 88, 22, 8.25, ?",4.125,"Theta Alpha Epsilon, Iota Iota, Gamma Gamma, 8.25, ?"
"2, 10, 30, 68, 130, ?",222,"Gamma, 10, 30, Eta Iota, Beta Delta Alpha, ?"
"1, 4, 15, 28, 57, 88, ?",143,"1, Epsilon, Beta Zeta, 28, Zeta Theta, 88, ?"
"122, 171, 228, 293, 366, ?",447,"122, Beta Theta Beta, Gamma Gamma Iota, Gamma Kappa Delta, 366, ?"
"13, 15, 19, 27, 43, ?",75,"Beta Delta, 15, 19, Gamma Theta, Epsilon Delta, ?"
"25, 33, 54, 99, 179, ?",305,"Gamma Zeta, Delta Delta, 54, 99, Beta Theta Kappa, ?"
"384, 377, 356, 321, ?, 209",272,"Delta Iota Epsilon, 377, Delta Zeta Eta, 321, ?, Gamma Alpha Kappa"
"5, 9, 16, 32, 75, ?",199,"5, Kappa, Beta Eta, 32, Theta Zeta, ?"
"3, 16, 45, 96, 175, ?",288,"Delta, Beta Eta, 45, Kappa Eta, 175, ?"
"3, 11, 29, 67, 145, ?",303,"Delta, Beta Beta, 29, 67, Beta Epsilon Zeta, ?"
"2, 12, 36, 80, 150, 252, ?",392,"Gamma, 12, Delta Eta, 80, 150, Gamma Zeta Gamma, ?"
"1, 5, 19, 81, 411, ?",2884,"1, Zeta, 19, Iota Beta, Epsilon Beta Beta, ?"
"9, 20, 36, 78, 148, 306, ?",600,"9, Gamma Alpha, 36, Theta Iota, 148, Delta Alpha Eta, ?"
"17, 33, 64, 124, 240, 464, ?",896,"17, Delta Delta, 64, Beta Gamma Epsilon, Gamma Epsilon Alpha, 464, ?"
"15, 19, 83, 119, 631, ?",731,"15, Beta Kappa, 83, Beta Beta Kappa, Eta Delta Beta, ?"
"15, 22, 40, 75, 133, ?",220,"Beta Zeta, Gamma Gamma, 40, Theta Zeta, 133, ?"
"24, 31, 52, 87, 136, ?",199,"24, Delta Beta, Zeta Gamma, Iota Theta, 136, ?"
"15, 8, 9, ?, 32, 82.5, 250.5",15,"Beta Zeta, Iota, 9, ?, Delta Gamma, 82.5, 250.5"
"1, 9, 61, 497, 4981, ?",59785,"Beta, Kappa, 61, 497, Epsilon Kappa Iota Beta, ?"
"2, 5, 23, 119, ?, 4079",659,"Gamma, 5, Gamma Delta, Beta Beta Kappa, ?, 4079"
"3, 4, 14, 73, 515, ?",4640,"3, Epsilon, Beta Epsilon, 73, Zeta Beta Zeta, ?"
"7, 16, 30, 62, 122, ?",246,"7, Beta Eta, 30, Eta Gamma, Beta Gamma Gamma, ?"
"11043, 11056, 11045, 11054, 11047, ?",11052,"11043, Beta Beta Alpha Zeta Eta, Beta Beta Alpha Epsilon Zeta, 11054, Beta Beta Alpha Epsilon Theta, ?"
"256, 128, 192, 480, ?, 7560",1680,"Gamma Zeta Eta, Beta Gamma Iota, 192, 480, ?, Theta Zeta Eta Alpha"
"47, 48, 51, 60, 87, ?",168,"Epsilon Theta, 48, 51, Eta Alpha, Iota Theta, ?"
"147, 148, 150, 159, 223, ?",848,"Beta Epsilon Theta, 148, 150, Beta Zeta Kappa, Gamma Gamma Delta, ?"
"145, 158, 119, 184, 93, ?",210,"145, Beta Zeta Iota, 119, Beta Iota Epsilon, Kappa Delta, ?"
"143, 151, 158, 172, 182, ?",193,"Beta Epsilon Delta, 151, 158, Beta Theta Gamma, Beta Iota Gamma, ?"
"47, 78, 115, 164, 231, ?",322,"Epsilon Theta, 78, 115, Beta Eta Epsilon, Gamma Delta Beta, ?"
"19, 61, 31, 47, ?, 19",55,"Beta Kappa, Eta Beta, 31, Epsilon Theta, ?, 19"
"21, ?, 52, 80, 119, 171",33,"21, ?, Zeta Gamma, Iota Alpha, Beta Beta Kappa, 171"
"768, 576, 432, 324, ?, 182.25",243,"768, Zeta Theta Eta, Epsilon Delta Gamma, Delta Gamma Epsilon, ?, 182.25"
"524, 260, 128, 62, ?, 12.5",29,"Zeta Gamma Epsilon, Gamma Eta Alpha, 128, Eta Gamma, ?, 12.5"
"4, 4, 11, 37, 100, ?",224,"Epsilon, Epsilon, Beta Beta, 37, 100, ?"
"4, 20, 51, 105, ?, 314",190,"Epsilon, 20, Zeta Beta, 105, ?, Delta Beta Epsilon"
"67, ?, 84.5, 97, 112, 129.5, 149.5",77,"Eta Theta, ?, 84.5, Kappa Theta, Beta Beta Gamma, 129.5, 149.5"
"3, 10, ?, 225, 1591, 14334",42,"3, 10, ?, Gamma Gamma Zeta, Beta Zeta Kappa Beta, Beta Epsilon Delta Delta Epsilon"
"2, 7, 63, 420, ?, 20741",2968,"Gamma, Theta, 63, 420, ?, Gamma Alpha Theta Epsilon Beta"
"462, 552, 650, 756, 870, 992, ?",1122,"Epsilon Eta Gamma, Zeta Zeta Gamma, 650, 756, Iota Theta Alpha, 992, ?"
"17, 23, 83, 293, 797, ?",1787,"Beta Theta, 23, Iota Delta, 293, Theta Kappa Theta, ?"
"18, 23, 42, 83, 154, ?",265,"Beta Iota, Gamma Delta, Epsilon Gamma, Iota Delta, 154, ?"
"12, 5, 9, 13, 17, ?",21,"Beta Gamma, 5, Kappa, Beta Delta, Beta Theta, ?"
"46, 57, 70, 81, ?, 105",94,"Epsilon Eta, Zeta Theta, Theta Alpha, Iota Beta, ?, 105"
"16, 16, 33, 50, 67, ?",84,"16, Beta Eta, Delta Delta, Zeta Alpha, Eta Theta, ?"
"105, 118, 111.5, 124.5, 118, ?",131,"Beta Alpha Zeta, Beta Beta Iota, 111.5, 124.5, Beta Beta Iota, ?"
"5, 3, 6, 9, ?, 15",12,"Zeta, Delta, Eta, Kappa, ?, 15"
"89, 91, 94, 99, ?, 117",106,"Iota Kappa, 91, Kappa Epsilon, Kappa Kappa, ?, Beta Beta Theta"
"970, 849, 768, 719, 694, ?",675,"Kappa Theta Alpha, Iota Epsilon Kappa, Theta Eta Iota, 719, Eta Kappa Epsilon, ?"
"40, 59, 97, 173, 325, ?",539,"Epsilon Alpha, Zeta Kappa, Kappa Theta, Beta Theta Delta, 325, ?"
"452, 790, 1466, 2818, 5522, ?",10930,"452, Theta Kappa Alpha, Beta Epsilon Eta Eta, Gamma Iota Beta Iota, Zeta Zeta Gamma Gamma, ?"
"10000, 2000, 400, 80, 16, ?",2.5,"Beta Alpha Alpha Alpha Alpha, Gamma Alpha Alpha Alpha, Epsilon Alpha Alpha, 80, Beta Eta, ?"
"2, 10, 42, 170, 682, ?",3030,"Gamma, Beta Alpha, 42, Beta Theta Alpha, Eta Iota Gamma, ?"
"200, 220, 484, 1597.2, 7027.68, ?",40552.24,"Gamma Alpha Alpha, Gamma Gamma Alpha, Epsilon Iota Epsilon, 1597.2, 7027.68, ?"
"10, 11, 26, 87, 364, ?",1845,"10, Beta Beta, Gamma Eta, Iota Theta, Delta Eta Epsilon, ?"
"2, 3, 10, 39, 172, ?",885,"2, Delta, Beta Alpha, Delta Kappa, Beta Theta Gamma, ?"
"4, 2, 3, 7.5, 26.25, ?",118.125,"Epsilon, Gamma, Delta, 7.5, 26.25, ?"
"15, 16, 20, 29, 45, 70, 106, ?",148,"Beta Zeta, 16, Gamma Alpha, Gamma Kappa, 45, Theta Alpha, 106, ?"
"842, ?, 2402, 3480, 4762",1000,"Iota Epsilon Gamma, ?, Gamma Epsilon Alpha Gamma, Delta Epsilon Iota Alpha, Epsilon Theta Eta Gamma"
"1, 9, 36, 100, 225, ?",441,"1, Kappa, Delta Eta, Beta Alpha Alpha, Gamma Gamma Zeta, ?"
"43, 41, 44, 39, 46, ?",37,"Epsilon Delta, 41, Epsilon Epsilon, Delta Kappa, Epsilon Eta, ?"
"0, 4, 12, 76, ?",2766,"Alpha, Epsilon, Beta Gamma, Theta Eta, ?"
"14, 27, 53, 105, 209, ?",417,"Beta Epsilon, Gamma Theta, 53, Beta Alpha Zeta, Gamma Alpha Kappa, ?"
"43, 54, 76, 109, 153, ?",208,"Epsilon Delta, Zeta Epsilon, Theta Eta, 109, Beta Zeta Delta, ?"
"2, 3, 14, 69, 340, ?",1825,"Gamma, Delta, Beta Epsilon, 69, Delta Epsilon Alpha, ?"
"9827, 9706, 9606, 9525, 9461, ?",9412,"Kappa Iota Gamma Theta, Kappa Theta Alpha Eta, Kappa Eta Alpha Eta, Kappa Zeta Gamma Zeta, 9461, ?"
"1991, 1964, 1900, 1775, ?",1559,"Beta Kappa Kappa Beta, Beta Kappa Eta Epsilon, Beta Kappa Alpha Alpha, Beta Theta Theta Zeta, ?"
"7, 56, 92, 117, 133, ?",142,"Theta, Zeta Eta, 92, Beta Beta Theta, Beta Delta Delta, ?"
"3, 17, 45, 87, 143, ?",213,"Delta, Beta Theta, 45, Iota Theta, Beta Epsilon Delta, ?"
"4, 2, 2, 3, 6, ?",15,"Epsilon, Gamma, 2, Delta, Eta, ?"
"729, 730, 734, 761, 1017, ?",4142,"729, Theta Delta Alpha, Theta Delta Epsilon, Theta Eta Beta, Beta Alpha Beta Theta, ?"
"512, 256, 256, 384, 768, ?",1920,"Zeta Beta Gamma, Gamma Zeta Eta, Gamma Zeta Eta, 384, Theta Eta Iota, ?"
"0, 2, 28, 93, 217, ?",434,"0, Gamma, Gamma Iota, Kappa Delta, Gamma Beta Theta, ?"
"125, 126, 130, 139, 155, 180, ?",216,"Beta Gamma Zeta, 126, Beta Delta Alpha, Beta Delta Kappa, Beta Zeta Zeta, 180, ?"
"1331, 1431, 1631, 1931, 2331, ?",2831,"1331, Beta Epsilon Delta Beta, Beta Eta Delta Beta, Beta Kappa Delta Beta, Gamma Delta Delta Beta, ?"
"7, 27, 93, 301, 915, 2775, 8361",301,"Theta, Gamma Theta, Kappa Delta, 301, 915, 2775, Iota Delta Eta Beta"
"201, 196, 181, 146, 121, 76, 21",146,"Gamma Alpha Beta, 196, Beta Iota Beta, 146, Beta Gamma Beta, 76, Gamma Beta"
"8, 37, 229, 1841, 18421, 231065",231065,"8, 37, Gamma Gamma Kappa, Beta Iota Epsilon Beta, Beta Iota Epsilon Gamma Beta, Gamma Delta Beta Alpha Eta Zeta"
"0, 10, 34, 82, 148, 250",82,"Alpha, Beta Alpha, Delta Epsilon, Iota Gamma, 148, 250"
"1, 0, 6, -3, 40, 100",100,"Beta, Alpha, 6, -3, Epsilon Alpha, Beta Alpha Alpha"
"144, 361, 703, 1215, 1944, 2944",361,"Beta Epsilon Epsilon, 361, Theta Alpha Delta, Beta Gamma Beta Zeta, 1944, Gamma Kappa Epsilon Epsilon"
"24, 32, 42, 56, 78, 104",78,"24, Delta Gamma, Epsilon Gamma, 56, Theta Iota, Beta Alpha Epsilon"
"40, 37, 45, 30, 54, 20",20,"Epsilon Alpha, 37, Epsilon Zeta, Delta Alpha, Zeta Epsilon, 20"
"86, 87, 92, 98, 106",87,"Iota Eta, Iota Theta, Kappa Gamma, Kappa Iota, 106"
"625, 663, 755, 745, 863, 835",863,"625, Eta Eta Delta, Theta Zeta Zeta, Theta Epsilon Zeta, 863, Iota Delta Zeta"
"2, 4, 10, 34, 152, 874",152,"Gamma, Epsilon, Beta Alpha, 34, 152, Iota Theta Epsilon"
"40, 45, 135, 442.5, 1285, 3837.5",135,"Epsilon Alpha, Epsilon Zeta, Beta Delta Zeta, 442.5, Beta Gamma Iota Zeta, 3837.5"
"2, 11, 32, 71, 134, 229",229,"2, Beta Beta, Delta Gamma, 71, Beta Delta Epsilon, Gamma Gamma Kappa"
"732, 744, 758, 780, 795, 816",758,"Theta Delta Gamma, Theta Epsilon Epsilon, Theta Zeta Iota, 780, Theta Kappa Zeta, 816"
"7, 14, 32, 60, 132, 186",132,"7, Beta Epsilon, Delta Gamma, Eta Alpha, 132, Beta Iota Eta"
"19, 32, 48, 71, 99, 134",48,"19, Delta Gamma, Epsilon Iota, Theta Beta, 99, Beta Delta Epsilon"
"-4, 16, -12, 32, -20, 96",32,"-4, Beta Eta, -12, Delta Gamma, -20, Kappa Eta"
"3, 14, 39, 80, 155, 258",258,"Delta, 14, Delta Kappa, Iota Alpha, Beta Zeta Zeta, Gamma Zeta Iota"
"6, 12, 24, 42, 66, 95",95,"Eta, Beta Gamma, Gamma Epsilon, 42, Eta Eta, Kappa Zeta"
"121, 145, 171, 199, 229, 264",264,"Beta Gamma Beta, Beta Epsilon Zeta, 171, Beta Kappa Kappa, Gamma Gamma Kappa, Gamma Eta Epsilon"
"60, 90, 180, 450, 1360, 4725",1360,"60, Kappa Alpha, Beta Iota Alpha, Epsilon Zeta Alpha, Beta Delta Eta Alpha, Epsilon Theta Gamma Zeta"
"1, 6, 19, 40, 69, 107",107,"Beta, Eta, Beta Kappa, Epsilon Alpha, 69, Beta Alpha Theta"
"5, 10, 30, 150, 600, 3600",150,"Zeta, Beta Alpha, 30, Beta Zeta Alpha, Eta Alpha Alpha, Delta Eta Alpha Alpha"
"25, 55, 115, 235, 480, 955",480,"Gamma Zeta, Zeta Zeta, 115, Gamma Delta Zeta, Epsilon Iota Alpha, Kappa Zeta Zeta"
"1, 122, 291, 516, 806, 1166",806,"1, Beta Gamma Gamma, Gamma Kappa Beta, Zeta Beta Eta, Iota Alpha Eta, Beta Beta Eta Eta"
"225, 236, 260, 301, 355, 430",301,"225, Gamma Delta Eta, Gamma Eta Alpha, Delta Alpha Beta, Delta Zeta Zeta, Epsilon Delta Alpha"
"26, 58, 127, 264, 625, 1016",625,"26, Zeta Iota, Beta Gamma Theta, Gamma Eta Epsilon, Eta Gamma Zeta, Beta Alpha Beta Eta"
"110, 166, 136, 240, 170, 333",333,"110, Beta Eta Eta, Beta Delta Eta, Gamma Epsilon Alpha, Beta Theta Alpha, Delta Delta Delta"
"25, 37.5, 62.5, 100, 162.5, 212.5",162.5,"Gamma Zeta, 37.5, 62.5, Beta Alpha Alpha, 162.5, 212.5"
"7, 6, 3, -6, ?, -114",-33,"Theta, Eta, Delta, -6, ?, -114"
"6, 42, 164, 450, 1002, ?",1936,"Eta, Epsilon Gamma, Beta Eta Epsilon, Epsilon Zeta Alpha, Beta Alpha Alpha Gamma, ?"
"8, 14, 23, 36.5, ?, 87.125",49.75,"Iota, Beta Epsilon, Gamma Delta, 36.5, ?, 87.125"
"3, 7, 15, 31, ?, 127",53,"Delta, Theta, Beta Zeta, Delta Beta, ?, Beta Gamma Theta"
"2, 36, 150, 392, 810, ?, 2366",1728,"Gamma, Delta Eta, Beta Zeta Alpha, Delta Kappa Gamma, 810, ?, Gamma Delta Eta Eta"
"88, 115, 144, 175, 208, ?",234,"Iota Iota, Beta Beta Zeta, Beta Epsilon Epsilon, Beta Theta Zeta, Gamma Alpha Iota, ?"
"448, 294, 180, 100, 48, 18, ?",8,"Epsilon Epsilon Iota, Gamma Kappa Epsilon, Beta Iota Alpha, Beta Alpha Alpha, Epsilon Iota, 18, ?"
"2, 14, 42, 92, 170, ?",285,"Gamma, Beta Epsilon, Epsilon Gamma, Kappa Gamma, Beta Theta Alpha, ?"
"5, 20, 320, 1280, 20480, ?",81920,"Zeta, Gamma Alpha, Delta Gamma Alpha, Beta Gamma Iota Alpha, Gamma Alpha Epsilon Iota Alpha, ?"
"10, 16, 34, 70, 130, ?",220,"Beta Alpha, Beta Eta, Delta Epsilon, Theta Alpha, Beta Delta Alpha, ?"
"135135, 12285, 1365, 195, ?, 13",39,"Beta Delta Zeta Beta Delta Zeta, Beta Gamma Gamma Iota Zeta, Beta Delta Eta Zeta, Beta Kappa Zeta, ?, Beta Delta"
"9, 13, 20, 36, 79, ?",203,"Kappa, Beta Delta, Gamma Alpha, Delta Eta, Theta Kappa, ?"
"7, 14, 28, 49, 77, ?",112,"Theta, Beta Epsilon, Gamma Iota, Epsilon Kappa, Theta Theta, ?"
"9, 6, 19, 14, 39, ?",30,"Kappa, Eta, Beta Kappa, Beta Epsilon, Delta Kappa, ?"
"12, 38, 90, 194, 402, ?",818,"Beta Gamma, Delta Iota, Kappa Alpha, Beta Kappa Epsilon, Epsilon Alpha Gamma, ?"
"18, 16, 29, 83, 327, ?",1629,"Beta Iota, Beta Eta, Gamma Kappa, Iota Delta, Delta Gamma Theta, ?"
"8, 16, 36, 74, 136, 228, ?",356,"Iota, Beta Eta, Delta Eta, Theta Epsilon, 136, Gamma Gamma Iota, ?"
"4, 18, 85, 336, 1005, ?",2008,"Epsilon, Beta Iota, Iota Zeta, Delta Delta Eta, Beta Alpha Alpha Zeta, ?"
"9, 265, 393, 457, 489, ?",505,"Kappa, Gamma Eta Zeta, Delta Kappa Delta, Epsilon Zeta Theta, Epsilon Iota Kappa, ?"
"7, 17, 35, 63, 103, ?",157,"Theta, Beta Theta, Delta Zeta, Eta Delta, Beta Alpha Delta, ?"
