number_series,answer
"19, 61, 31, 47, ?, 19",55
"21, ?, 52, 80, 119, 171",33
"768, 576, 432, 324, ?, 182.25",243
"524, 260, 128, 62, ?, 12.5",29
"4, 4, 11, 37, 100, ?",224
"4, 20, 51, 105, ?, 314",190
"67, ?, 84.5, 97, 112, 129.5, 149.5",77
"3, 10, ?, 225, 1591, 14334",42
"2, 7, 63, 420, ?, 20741",2968
"462, 552, 650, 756, 870, 992, ?",1122
"17, 23, 83, 293, 797, ?",1787
"18, 23, 42, 83, 154, ?",265
"12, 5, 9, 13, 17, ?",21
"46, 57, 70, 81, ?, 105",94
"16, 16, 33, 50, 67, ?",84
"105, 118, 111.5, 124.5, 118, ?",131
"5, 3, 6, 9, ?, 15",12
"89, 91, 94, 99, ?, 117",106
"970, 849, 768, 719, 694, ?",675
"40, 59, 97, 173, 325, ?",539
"452, 790, 1466, 2818, 5522, ?",10930
"10000, 2000, 400, 80, 16, ?",2.5
"2, 10, 42, 170, 682, ?",3030
"200, 220, 484, 1597.2, 7027.68, ?",40552.24
"10, 11, 26, 87, 364, ?",1845
"2, 3, 10, 39, 172, ?",885
"4, 2, 3, 7.5, 26.25, ?",118.125
"15, 16, 20, 29, 45, 70, 106, ?",148
"842, ?, 2402, 3480, 4762",1000
"1, 9, 36, 100, 225, ?",441
"43, 41, 44, 39, 46, ?",37
"0, 4, 12, 76, ?",2766
"14, 27, 53, 105, 209, ?",417
"43, 54, 76, 109, 153, ?",208
"2, 3, 14, 69, 340, ?",1825
"9827, 9706, 9606, 9525, 9461, ?",9412
"1991, 1964, 1900, 1775, ?",1559
"7, 56, 92, 117, 133, ?",142
"3, 17, 45, 87, 143, ?",213
"4, 2, 2, 3, 6, ?",15
"729, 730, 734, 761, 1017, ?",4142
"512, 256, 256, 384, 768, ?",1920
"0, 2, 28, 93, 217, ?",434
"125, 126, 130, 139, 155, 180, ?",216
"1331, 1431, 1631, 1931, 2331, ?",2831
"7, 27, 93, 301, 915, 2775, 8361",301
"201, 196, 181, 146, 121, 76, 21",146
"8, 37, 229, 1841, 18421, 231065",231065
"0, 10, 34, 82, 148, 250",82
"1, 0, 6, -3, 40, 100",100
"144, 361, 703, 1215, 1944, 2944",361
"24, 32, 42, 56, 78, 104",78
"40, 37, 45, 30, 54, 20",20
"86, 87, 92, 98, 106",87
"625, 663, 755, 745, 863, 835",863
"2, 4, 10, 34, 152, 874",152
"40, 45, 135, 442.5, 1285, 3837.5",135
"2, 11, 32, 71, 134, 229",229
"732, 744, 758, 780, 795, 816",758
"7, 14, 32, 60, 132, 186",132
"19, 32, 48, 71, 99, 134",48
"-4, 16, -12, 32, -20, 96",32
"3, 14, 39, 80, 155, 258",258
"6, 12, 24, 42, 66, 95",95
"121, 145, 171, 199, 229, 264",264
"60, 90, 180, 450, 1360, 4725",1360
"1, 6, 19, 40, 69, 107",107
"5, 10, 30, 150, 600, 3600",150
"25, 55, 115, 235, 480, 955",480
"1, 122, 291, 516, 806, 1166",806
"225, 236, 260, 301, 355, 430",301
"26, 58, 127, 264, 625, 1016",625
"110, 166, 136, 240, 170, 333",333
"25, 37.5, 62.5, 100, 162.5, 212.5",162.5
"7, 6, 3, -6, ?, -114",-33
"6, 42, 164, 450, 1002, ?",1936
"8, 14, 23, 36.5, ?, 87.125",49.75
"3, 7, 15, 31, ?, 127",53
"2, 36, 150, 392, 810, ?, 2366",1728
"88, 115, 144, 175, 208, ?",234
"448, 294, 180, 100, 48, 18, ?",8
"2, 14, 42, 92, 170, ?",285
"5, 20, 320, 1280, 20480, ?",81920
"10, 16, 34, 70, 130, ?",220
"135135, 12285, 1365, 195, ?, 13",39
"9, 13, 20, 36, 79, ?",203
"7, 14, 28, 49, 77, ?",112
"9, 6, 19, 14, 39, ?",30
"12, 38, 90, 194, 402, ?",818
"18, 16, 29, 83, 327, ?",1629
"8, 16, 36, 74, 136, 228, ?",356
"4, 18, 85, 336, 1005, ?",2008
"9, 265, 393, 457, 489, ?",505
"7, 17, 35, 63, 103, ?",157
"40, 82, 249, 1250, ?",8757
"24, 70, 144, 252, 400, ?",594
"33, 47, 53, 61, 71, ?",83
"660, 656, 620, 520, 324, ?",0
"133, 207, 353, 501, 741, ?",987
"8.5, 24, ?, 79, 118.5, 166",47.5
"2048, 516, 1032, 262, ?, 135, 270",524
"7, 9, 12, 48, ?, 890",172
"47, 58, 71, 79, 95, ?",109
"8, 39, 79, 394, 789, ?",3944
"15, 17, 26, 47, 86, ?",149
"3, 9, 24, 57, ?, 267, 552",126
"2, 8, 28, 102, 432, ?",2190
"6, 16, 44, 126, 370, ?",1100
"51, 77, 175, 250, 279, ?",413
"2, 2, 5, 15.5, ?, 267.125",58.25
"219, 223, 232, 248, ?",273
"10, 17.5, 32.5, 55, 85, ?",122.5
"1, 7, 16, 30, 51, ?",81
"0, 6, 24, 60, 120, ?",210
"6, 6, 18, 90, 630, ?",5670
"27, 35, 47, 63, 83, ?",105
"7, 12, 19, 31, 50, ?",79
"2, 3, 8, 27, 112, ?",630
"30, 128, 346, 732, ?, 2200",1334
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625
"156, 145, 123, 90, 46, ?",-9
"11, 12, 39, 164, 507, ?",1236
"120, 145, ?, 197, 224, 257",168
"5, 36, 191, 966, ?, 24216",4841
"144, 153, 171, 207, 279, ?",423
"76, 304, ?, 43776, 1094400, 39398400",2736
"2, 18, 36, ?, 98, 146, 188",68
"94, 99, 108, 119, 130, ?, 144",139
"15, 15, 25, 58.33, ?, 641.66, 2780.55",175
"35, 65, ?, 725, 3605, 21605, 151205",185
"131, 231, 341, 461, ?, 731",591
"81, 108, 124, 249, ?, 628",285
"824, 568, 793, 597, 766, ?",622
"10.5, 20, 39, 67.5, ?, 153",105.5
"9, 31, 73, 141, 241, ?",379
"161, 159, 169, 227, 477, ?",1495
"33, 26.5, ?, 64.75, 139.5, 358.75",36.5
"31, 17, 26, 64.5, ?, 1006.6",224.25
"16, 19, 26, 39, 62, ?",99
"386, 379, 358, 323, ?, 211",274
