number_series,answer,obfuscation,obfuscation_ground_truth
"0, 1, 1, 2, 3, 5, ...",8,"January, February, February, March, April, June, ",September
"4, 9, 6, 11, 8, ...",13,"May, November, July, February February, September, ",February April
"12, 7, 21, 16, 30, ...",25,"February March, August, March February, February July, April January, ",March June
"101, 99, 96, 91, ?",84,"February January February, November November, November July, November February, ",September May
"97, 97, 82, 82, 67, 67, ...",52,"November August, November August, September March, September March, July August, July August, ",June March
"109, 190, 239, 264, 273, ...",274,"February January November, February November January, March April November, March July May, March August April, ",March August May
"123, 98, 82, 73, 69, ...",68,"February March April, November September, September March, August April, July November, ",July September
"47, 56, 74, 101, 137, ...",182,"May August, June July, August May, February January February, February April August, ",February September March
"13, 14, 23, 48, 97, 178, ...",299,"February April, February May, March April, May September, November August, February August September, ",March November November
"24, 40, 64, 104, ..., 312",176,"March May, May January, July May, February January May, , April February March",February August July
"11, 13, 19, 49, 109, 239, ...",449,"February February, February April, February November, May November, February January November, March April November, ",May May November
"4, 5, 18, 19, 68, 69, ...",262,"May, June, February September, February November, July September, July November, ",March July March
"6, 16, 29, 62, 121, ...",246,"July, February July, March November, July March, February March February, ",March May July
"62, 74, 80, 86, 95, ..., 158",113,"July March, August May, September January, September July, November June, , February June September",February February April
"18, 24, 84, 294, 798, ...",1788,"February September, March May, September May, March November May, August November September, ",February August September September
"19, 38, 35, ..., 135, 810",140,"February November, April September, April June, , February April June, September February January",February May January
"1, 2, 6, 15, ..., 56, 92",31,"February, March, July, February June, , June July, November March",April February
"5, 18, 70, 278, ...",1110,"June, February September, August January, March August September, ",February February February January
"3, 5, 5, 19, 7, 41, 9, ...",71,"April, June, June, February November, August, May February, November, ",August February
"4, 18, ..., 100, 180, 294, 448",48,"May, February September, , February January January, February September January, March November May, May May September",May September
"1, 2, 6, 15, 31, 56, 91",91,"February, March, July, February June, April February, June July, November February",November February
"132, 156, ..., 210, 240, 272",182,"February April March, February June July, , March February January, March May January, March August March",February September March
"10, 9, 60, 90, 70, 66, ...",96,"February January, November, July January, November January, August January, July July, ",November July
"5, 9, 13, 17, 21, ...",25,"June, November, February April, February August, March February, ",March June
"8, 27, 125, 343, 1381",1381,"September, March August, February March June, April May April, February April September February",February April September February
"102, 85, 68, 51, ...",34,"February January March, September June, July September, June February, ",April May
"1, 3, 5, 7, ...",9,"February, April, June, August, ",November
"964, ?, 241, 120.5, 60.25",482,"November July May, , March May February, February March January June, July January March June",May September March
"24, 26, 28, ?, 32, 34",30,"March May, March July, March September, , April March, April May",April January
"9, 11, 14, 16, 19, 21, ...",24,"November, February February, February May, February July, February November, March February, ",March May
"21, 55, 19, 50, 17, 45, ...",15,"March February, June June, February November, June January, February August, May June, ",February June
"13, 17, 26, 42, 67, ...",103,"February April, February August, March July, May March, July August, ",February January April
"13, 10, 7, 4, ...",1,"February April, February January, August, May, ",February
"7, 11, 15, 19, 23, ...",27,"August, February February, February June, February November, March April, ",March August
"4, 18, ?, 100, 180, 294, 448",48,"May, February September, , February January January, February September January, March November May, May May September",May September
"3, 5, 5, 19, 7, 41, 9, ...",71,"April, June, June, February November, August, May February, November, ",August February
"1, 2, 3, 10, ?, 9802",99,"February, March, April, February January, , November September January March",November November
"1, 2, 6, 15, 31, 56, 91",91,"February, March, July, February June, April February, June July, November February",November February
"132, 156, ?, 210, 240, 272",182,"February April March, February June July, , March February January, March May January, March August March",February September March
"2, 3, 4, 4, 6, 8, 9, 12, 16",9,"March, April, May, May, July, September, November, February March, February July",November
"2, 5, 10, 50, 500, 5000",5000,"March, June, February January, June January, June January January, June January January January",June January January January
"3, 8, 15, 24, 34, 48, 63",34,"April, September, February June, March May, April May, May September, July April",April May
"1024, 520, 268, 142, ?, 47.5",79,"February January March May, June March January, March July September, February May March, , May August June",August November
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25,"April March, February July June, February August June, March August August June, June August June, ",February May July March June
"6, 16, 34, 62, 102, ?",156,"July, February July, April May, July March, February January March, ",February June July
"100, 101, 102, 101, 96, ?, 66",85,"February January January, February January February, February January March, February January February, November July, , July July",September June
"3, 10, 24, 50, ?, 170",120,"April, February January, March May, June January, , February August January",February March January
"32, 35, 64, 71, 104, ?, 152",115,"April March, April June, July May, August February, February January May, , February June March",February February June
"4, 20, 29, 38, 47, 56, ?",65,"May, March January, March November, April September, May August, June July, ",July June
"9, 24, 69, 204, 609, ?",1824,"November, March May, July November, March January May, July January November, ",February September March May
"582, 751, 555, 724, 528, ?",697,"June September March, August June February, June June June, August March May, June March September, ",July November August
"14, 33, 71, 128, 204, ?",,"February May, April April, August February, February March September, March January May, ",
"8, 12, 18, 27, 40.5, 60.75, ?",91.125,"September, February March, February September, March August, May January June, July January August June, ",November February February March June
"13, 15, 21, 37, 77, 173, ?",397,"February April, February June, March February, April August, August August, February August April, ",April November August
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794,"September July May September, September September April May, November January March March, November March February March, November May January May, November June November September, ",November August November May
"23, 21, 45, 131, 529, ?, 15841",2639,"March April, March February, May June, February April February, June March November, , February June September May February",March July April November
"64, 88, 152, 162, 174, ?",202,"July May, September September, February June March, February July March, February August May, ",March January March
"43, 47, 56, 81, 130, ?",251,"May April, May August, June July, September February, February April January, ",March June February
"1022, 1009, 983, 944, 892, ?",827,"February January March March, February January January November, November September April, November May May, September November March, ",September March August
"1025, 1024, 1019, 1005, 975, ?",920,"February January March June, February January March May, February January February November, February January January June, November August June, ",November March January
"196, 201, 208.5, 218.5, 231, ?",246,"February November July, March January February, March January September June, March February September June, March April February, ",March May July
"489, 510, 516, 528, 543, 555, ?",570,"May September November, June February January, June February July, June March September, June May April, June June June, ",June August January
"81, 91, 109, 146, 221, 351, ?",576,"September February, November February, February January November, February May July, March March February, April June February, ",June August July
"540, 538, 534, 526, 510, ?, 414",478,"June May January, June April September, June April May, June March July, June February January, , May February May",May August September
"32, 24, 20, 18, 17, ?",16.5,"April March, March May, March January, February September, February August, ",February July June
"1, 3, 9, 39, 249, 2559, ?",32589,"February, April, November, April November, March May November, March June June November, ",April March June September November
"704, 88, 22, 8.25, ?",4.125,"August January May, September September, March March, September March June, ",May February March June
"2, 10, 30, 68, 130, ?",222,"March, February January, April January, July September, February April January, ",March March March
"1, 4, 15, 28, 57, 88, ?",143,"February, May, February June, March September, June August, September September, ",February May April
"122, 171, 228, 293, 366, ?",447,"February March March, February August February, March March September, March November April, April July July, ",May May August
"13, 15, 19, 27, 43, ?",75,"February April, February June, February November, March August, May April, ",August June
"25, 33, 54, 99, 179, ?",305,"March June, April April, June May, November November, February August November, ",April January June
"384, 377, 356, 321, ?, 209",272,"April September May, April August August, April June July, April March February, , March January November",March August March
"5, 9, 16, 32, 75, ?",199,"June, November, February July, April March, August June, ",February November November
"3, 16, 45, 96, 175, ?",288,"April, February July, May June, November July, February August June, ",March September September
"3, 11, 29, 67, 145, ?",303,"April, February February, March November, July August, February May June, ",April January April
"2, 12, 36, 80, 150, 252, ?",392,"March, February March, April July, September January, February June January, March June March, ",April November March
"1, 5, 19, 81, 411, ?",2884,"February, June, February November, September February, May February February, ",March September September May
"9, 20, 36, 78, 148, 306, ?",600,"November, March January, April July, August September, February May September, April January July, ",July January January
"17, 33, 64, 124, 240, 464, ?",896,"February August, April April, July May, February March May, March May January, May July May, ",September November July
"15, 19, 83, 119, 631, ?",731,"February June, February November, September April, February February November, July April February, ",August April February
"15, 22, 40, 75, 133, ?",220,"February June, March March, May January, August June, February April April, ",March March January
"24, 31, 52, 87, 136, ?",199,"March May, April February, June March, September August, February April July, ",February November November
"15, 8, 9, ?, 32, 82.5, 250.5",15,"February June, September, November, , April March, September March June, March June January June",February June
"1, 9, 61, 497, 4981, ?",59785,"February, November, July February, May November August, May November September February, ",June November August September June
"2, 5, 23, 119, ?, 4079",659,"March, June, March April, February February November, , May January August November",July June November
"3, 4, 14, 73, 515, ?",4640,"April, May, February May, August April, June February June, ",May July May January
"7, 16, 30, 62, 122, ?",246,"August, February July, April January, July March, February March March, ",March May July
"11043, 11056, 11045, 11054, 11047, ?",11052,"February February January May April, February February January June July, February February January May June, February February January June May, February February January May August, ",February February January June March
"256, 128, 192, 480, ?, 7560",1680,"March June July, February March September, February November March, May September January, , August June July January",February July September January
"47, 48, 51, 60, 87, ?",168,"May August, May September, June February, July January, September August, ",February July September
"147, 148, 150, 159, 223, ?",848,"February May August, February May September, February June January, February June November, March March April, ",September May September
"145, 158, 119, 184, 93, ?",210,"February May June, February June September, February February November, February September May, November April, ",March February January
"143, 151, 158, 172, 182, ?",193,"February May April, February June February, February June September, February August March, February September March, ",February November April
"47, 78, 115, 164, 231, ?",322,"May August, August September, February February June, February July May, March April February, ",April March March
"19, 61, 31, 47, ?, 19",55,"February November, July February, April February, May August, , February November",June June
"21, ?, 52, 80, 119, 171",33,"March February, , June March, September January, February February November, February August February",April April
"768, 576, 432, 324, ?, 182.25",243,"August July September, June August July, May April March, April March May, , February September March March June",March May April
"524, 260, 128, 62, ?, 12.5",29,"June March May, March July January, February March September, July March, , February March June",March November
"4, 4, 11, 37, 100, ?",224,"May, May, February February, April August, February January January, ",March March May
"4, 20, 51, 105, ?, 314",190,"May, March January, June February, February January June, , April February May",February November January
"67, ?, 84.5, 97, 112, 129.5, 149.5",77,"July August, , September May June, November August, February February March, February March November June, February May November June",August August
"3, 10, ?, 225, 1591, 14334",42,"April, February January, , March March June, February June November February, February May April April May",May March
"2, 7, 63, 420, ?, 20741",2968,"March, August, July April, May March January, , March January August May February",March November July September
"462, 552, 650, 756, 870, 992, ?",1122,"May July March, June June March, July June January, August June July, September August January, November November March, ",February February March March
"17, 23, 83, 293, 797, ?",1787,"February August, March April, September April, March November April, August November August, ",February August September August
"18, 23, 42, 83, 154, ?",265,"February September, March April, May March, September April, February June May, ",March July June
"12, 5, 9, 13, 17, ?",21,"February March, June, November, February April, February August, ",March February
"46, 57, 70, 81, ?, 105",94,"May July, June August, August January, September February, , February January June",November May
"16, 16, 33, 50, 67, ?",84,"February July, February July, April April, June January, July August, ",September May
"105, 118, 111.5, 124.5, 118, ?",131,"February January June, February February September, February February February June, February March May June, February February September, ",February April February
"5, 3, 6, 9, ?, 15",12,"June, April, July, November, , February June",February March
"89, 91, 94, 99, ?, 117",106,"September November, November February, November May, November November, , February February August",February January July
"970, 849, 768, 719, 694, ?",675,"November August January, September May November, August July September, August February November, July November May, ",July August June
"40, 59, 97, 173, 325, ?",539,"May January, June November, November August, February August April, April March June, ",June April November
"452, 790, 1466, 2818, 5522, ?",10930,"May June March, August November January, February May July July, March September February September, June June March March, ",February January November April January
"10000, 2000, 400, 80, 16, ?",2.5,"February January January January January, March January January January, May January January, September January, February July, ",March June
"2, 10, 42, 170, 682, ?",3030,"March, February January, May March, February August January, July September March, ",April January April January
"200, 220, 484, 1597.2, 7027.68, ?",40552.24,"March January January, March March January, May September May, February June November August March, August January March August July September, ",May January June June March March May
"10, 11, 26, 87, 364, ?",1845,"February January, February February, March July, September August, April July May, ",February September May June
"2, 3, 10, 39, 172, ?",885,"March, April, February January, April November, February August March, ",September September June
"4, 2, 3, 7.5, 26.25, ?",118.125,"May, March, April, August June, March July March June, ",February February September February March June
"15, 16, 20, 29, 45, 70, 106, ?",148,"February June, February July, March January, March November, May June, August January, February January July, ",February May September
"842, ?, 2402, 3480, 4762",1000,"September May March, , March May January March, April May September January, May August July March",February January January January
"1, 9, 36, 100, 225, ?",441,"February, November, April July, February January January, March March June, ",May May February
"43, 41, 44, 39, 46, ?",37,"May April, May February, May May, April November, May July, ",April August
"0, 4, 12, 76, ?",2766,"January, May, February March, August July, ",March August July July
"14, 27, 53, 105, 209, ?",417,"February May, March August, June April, February January June, March January November, ",May February August
"43, 54, 76, 109, 153, ?",208,"May April, June May, August July, February January November, February June April, ",March January September
"2, 3, 14, 69, 340, ?",1825,"March, April, February May, July November, April May January, ",February September March June
"9827, 9706, 9606, 9525, 9461, ?",9412,"November September March August, November August January July, November July January July, November June March June, November May July February, ",November May February March
"1991, 1964, 1900, 1775, ?",1559,"February November November February, February November July May, February November January January, February August August June, ",February June June November
"7, 56, 92, 117, 133, ?",142,"August, June July, November March, February February August, February April April, ",February May March
"3, 17, 45, 87, 143, ?",213,"April, February August, May June, September August, February May April, ",March February April
"4, 2, 2, 3, 6, ?",15,"May, March, March, April, July, ",February June
"729, 730, 734, 761, 1017, ?",4142,"August March November, August April January, August April May, August July February, February January February August, ",May February May March
"512, 256, 256, 384, 768, ?",1920,"June February March, March June July, March June July, April September May, August July September, ",February November March January
"0, 2, 28, 93, 217, ?",434,"January, March, March September, November April, March February August, ",May April May
"125, 126, 130, 139, 155, 180, ?",216,"February March June, February March July, February April January, February April November, February June June, February September January, ",March February July
"1331, 1431, 1631, 1931, 2331, ?",2831,"February April April February, February May April February, February July April February, February November April February, March April April February, ",March September April February
"7, 27, 93, 301, 915, 2775, 8361",301,"August, March August, November April, April January February, November February June, March August August June, September April July February",April January February
"201, 196, 181, 146, 121, 76, 21",146,"March January February, February November July, February September February, February May July, February March February, August July, March February",February May July
"8, 37, 229, 1841, 18421, 231065",231065,"September, April August, March March November, February September May February, February September May March February, March April February January July June",March April February January July June
"0, 10, 34, 82, 148, 250",82,"January, February January, April May, September March, February May September, March June January",September March
"1, 0, 6, -3, 40, 100",100,"February, January, July, April, May January, February January January",February January January
"144, 361, 703, 1215, 1944, 2944",361,"February May May, April July February, August January April, February March February June, February November May May, March November May May",April July February
"24, 32, 42, 56, 78, 104",78,"March May, April March, May March, June July, August September, February January May",August September
"40, 37, 45, 30, 54, 20",20,"May January, April August, May June, April January, June May, March January",March January
"86, 87, 92, 98, 106",87,"September July, September August, November March, November September, February January July",September August
"625, 663, 755, 745, 863, 835",863,"July March June, July July April, August June June, August May June, September July April, September April June",September July April
"2, 4, 10, 34, 152, 874",152,"March, May, February January, April May, February June March, September August May",February June March
"40, 45, 135, 442.5, 1285, 3837.5",135,"May January, May June, February April June, May May March June, February March September June, April September April August June",February April June
"2, 11, 32, 71, 134, 229",229,"March, February February, April March, August February, February April May, March March November",March March November
"732, 744, 758, 780, 795, 816",758,"August April March, August May May, August June September, August September January, August November June, September February July",August June September
"7, 14, 32, 60, 132, 186",132,"August, February May, April March, July January, February April March, February September July",February April March
"19, 32, 48, 71, 99, 134",48,"February November, April March, May September, August February, November November, February April May",May September
"-4, 16, -12, 32, -20, 96",32,"May, February July, February March, April March, March January, November July",April March
"3, 14, 39, 80, 155, 258",258,"April, February May, April November, September January, February June June, March June September",March June September
"6, 12, 24, 42, 66, 95",95,"July, February March, March May, May March, July July, November June",November June
"121, 145, 171, 199, 229, 264",264,"February March February, February May June, February August February, February November November, March March November, March July May",March July May
"60, 90, 180, 450, 1360, 4725",1360,"July January, November January, February September January, May June January, February April July January, May August March June",February April July January
"1, 6, 19, 40, 69, 107",107,"February, July, February November, May January, July November, February January August",February January August
"5, 10, 30, 150, 600, 3600",150,"June, February January, April January, February June January, July January January, April July January January",February June January
"25, 55, 115, 235, 480, 955",480,"March June, June June, February February June, March April June, May September January, November June June",May September January
"1, 122, 291, 516, 806, 1166",806,"February, February March March, March November February, June February July, September January July, February February July July",September January July
"225, 236, 260, 301, 355, 430",301,"March March June, March April July, March July January, April January February, April June June, May April January",April January February
"26, 58, 127, 264, 625, 1016",625,"March July, June September, February March August, March July May, July March June, February January February July",July March June
"110, 166, 136, 240, 170, 333",333,"February February January, February July July, February April July, March May January, February August January, April April April",April April April
"25, 37.5, 62.5, 100, 162.5, 212.5",162.5,"March June, April August June, July March June, February January January, February July March June, March February March June",February July March June
"7, 6, 3, -6, ?, -114",-33,"August, July, April, July, , February February May",April April
"6, 42, 164, 450, 1002, ?",1936,"July, May March, February July May, May June January, February January January March, ",February November April July
"8, 14, 23, 36.5, ?, 87.125",49.75,"September, February May, March April, April July June, , September August February March June",May November August June
"3, 7, 15, 31, ?, 127",53,"April, August, February June, April February, , February March August",June April
"2, 36, 150, 392, 810, ?, 2366",1728,"March, April July, February June January, April November March, September February January, , March April July July",February August March September
"88, 115, 144, 175, 208, ?",234,"September September, February February June, February May May, February August June, March January September, ",March April May
"448, 294, 180, 100, 48, 18, ?",8,"May May September, March November May, February September January, February January January, May September, February September, ",September
"2, 14, 42, 92, 170, ?",285,"March, February May, May March, November March, February August January, ",March September June
"5, 20, 320, 1280, 20480, ?",81920,"June, March January, April March January, February March September January, March January May September January, ",September February November March January
"10, 16, 34, 70, 130, ?",220,"February January, February July, April May, August January, February April January, ",March March January
"135135, 12285, 1365, 195, ?, 13",39,"February April June February April June, February March March September June, February April July June, February November June, , February April",April November
"9, 13, 20, 36, 79, ?",203,"November, February April, March January, April July, August November, ",March January April
"7, 14, 28, 49, 77, ?",112,"August, February May, March September, May November, August August, ",February February March
"9, 6, 19, 14, 39, ?",30,"November, July, February November, February May, April November, ",April January
"12, 38, 90, 194, 402, ?",818,"February March, April September, November January, February November May, May January March, ",September February September
"18, 16, 29, 83, 327, ?",1629,"February September, February July, March November, September April, April March August, ",February July March November
"8, 16, 36, 74, 136, 228, ?",356,"September, February July, April July, August May, February April July, March March September, ",April June July
"4, 18, 85, 336, 1005, ?",2008,"May, February September, September June, April April July, February January January June, ",March January January September
"9, 265, 393, 457, 489, ?",505,"November, March July June, April November April, May June August, May September November, ",June January June
"7, 17, 35, 63, 103, ?",157,"August, February August, April June, July April, February January April, ",February June August
"40, 82, 249, 1250, ?",8757,"May January, September March, March May November, February March June January, ",September August June August
"24, 70, 144, 252, 400, ?",594,"March May, August January, February May May, March June March, May January January, ",June November May
"33, 47, 53, 61, 71, ?",83,"April April, May August, June April, July February, August February, ",September April
"660, 656, 620, 520, 324, ?",0,"July July January, July June July, July March January, June March January, April March May, ",January
"133, 207, 353, 501, 741, ?",987,"February April April, March January August, April June April, June January February, August May February, ",November September August
"8.5, 24, ?, 79, 118.5, 166",47.5,"September June, March May, , August November, February February September June, February July July",May August June
"2048, 516, 1032, 262, ?, 135, 270",524,"March January May September, June February July, February January April March, March July March, , February April June, March August January",June March May
"7, 9, 12, 48, ?, 890",172,"August, November, February March, May September, , September November January",February August March
"47, 58, 71, 79, 95, ?",109,"May August, June September, August February, August November, November June, ",February January November
"8, 39, 79, 394, 789, ?",3944,"September, April November, August November, April November May, August September November, ",April November May May
"15, 17, 26, 47, 86, ?",149,"February June, February August, March July, May August, September July, ",February May November
"3, 9, 24, 57, ?, 267, 552",126,"April, November, March May, June August, , March July August, June June March",February March July
"2, 8, 28, 102, 432, ?",2190,"March, September, March September, February January March, May April March, ",March February November January
"6, 16, 44, 126, 370, ?",1100,"July, February July, May May, February March July, April August January, ",February February January January
"51, 77, 175, 250, 279, ?",413,"June February, August August, February August June, March June January, March August November, ",May February April
"2, 2, 5, 15.5, ?, 267.125",58.25,"March, March, June, February June June, , March July August February March June",June September March June
"219, 223, 232, 248, ?",273,"March February November, March March April, March April March, March May September, ",March August April
"10, 17.5, 32.5, 55, 85, ?",122.5,"February January, February August June, April March June, June June, September June, ",February March March June
"1, 7, 16, 30, 51, ?",81,"February, August, February July, April January, June February, ",September February
"0, 6, 24, 60, 120, ?",210,"January, July, March May, July January, February March January, ",March February January
"6, 6, 18, 90, 630, ?",5670,"July, July, February September, November January, July April January, ",June July August January
"27, 35, 47, 63, 83, ?",105,"March August, April June, May August, July April, September April, ",February January June
"7, 12, 19, 31, 50, ?",79,"August, February March, February November, April February, June January, ",August November
"2, 3, 8, 27, 112, ?",630,"March, April, September, March August, February February March, ",July April January
"30, 128, 346, 732, ?, 2200",1334,"April January, February March September, April May July, August April March, , March March January January",February April April May
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"February July September January January, May March January January, February January June January, March July March June, , February July May January July March June",July June July March June
"156, 145, 123, 90, 46, ?",-9,"February June July, February May June, February March April, November January, May July, ",November
"11, 12, 39, 164, 507, ?",1236,"February February, February March, April November, February July May, June January August, ",February March April July
"120, 145, ?, 197, 224, 257",168,"February March January, February May June, , February November August, March March May, March June August",February July September
"5, 36, 191, 966, ?, 24216",4841,"June, April July, February November February, November July July, , March May March February July",May September May February
"144, 153, 171, 207, 279, ?",423,"February May May, February June April, February August February, March January August, March August November, ",May March April
"76, 304, ?, 43776, 1094400, 39398400",2736,"August July, April January May, , May April August August July, February January November May May January January, April November April November September May January January",March August April July
"2, 18, 36, ?, 98, 146, 188",68,"March, February September, April July, , November September, February May July, February September September",July September
"94, 99, 108, 119, 130, ?, 144",139,"November May, November November, February January September, February February November, February April January, , February May May",February April November
"15, 15, 25, 58.33, ?, 641.66, 2780.55",175,"February June, February June, March June, June September April April, , July May February July July, March August September January June June",February August June
"35, 65, ?, 725, 3605, 21605, 151205",185,"April June, July June, , August March June, April July January June, March February July January June, February June February March January June",February September June
"131, 231, 341, 461, ?, 731",591,"February April February, March April February, April May February, May July February, , August April February",June November February
"81, 108, 124, 249, ?, 628",285,"September February, February January September, February March May, March May November, , July March September",March September June
"824, 568, 793, 597, 766, ?",622,"September March May, June July September, August November April, June November August, August July July, ",July March March
"10.5, 20, 39, 67.5, ?, 153",105.5,"February January June, March January, April November, July August June, , February June April",February January June June
"9, 31, 73, 141, 241, ?",379,"November, April February, August April, February May February, March May February, ",April August November
"161, 159, 169, 227, 477, ?",1495,"February July February, February June November, February July November, March March August, May August August, ",February May November June
"33, 26.5, ?, 64.75, 139.5, 358.75",36.5,"April April, March July June, , July May August June, February April November June, April June September August June",April July June
"31, 17, 26, 64.5, ?, 1006.6",224.25,"April February, February August, March July, July May June, , February January January July July",March March May March June
"16, 19, 26, 39, 62, ?",99,"February July, February November, March July, April November, July March, ",November November
"386, 379, 358, 323, ?, 211",274,"April September July, April August November, April June September, April March April, , March February February",March August May
