number_series,answer,obfuscation
"31, 17, 26, 64.5, ?, 1006.6",224.25,"Earth Mercury, Mercury Uranus, Venus Saturn, 64.5, ?, 1006.6"
"7, 6, 3, -6, ?, -114",-33,"Uranus, Saturn, Earth, -6, ?, -114"
"2, 5, 10, 50, 500, 5000",5000,"2, Jupiter, 10, 50, Jupiter Sun Sun, 5000"
"1, 4, 9, 16, ...",25,"1, 4, Pluto, 16, ..."
"1.5, 2.3, 3.1, 3.9, ...",4.7,"1.5, 2.3, 3.1, 3.9, ..."
"3, 16, 45, 96, 175, ?",288,"Earth, Mercury Saturn, 45, Pluto Saturn, 175, ?"
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"1, 30, 5, Venus Saturn, 9, 22, 13, 18, ..."
"5, 3, 6, 9, ?, 15",12,"Jupiter, Earth, Saturn, Pluto, ?, 15"
"11, 12, 15, 20, 27, ...",36,"11, Mercury Venus, 15, 20, 27, ..."
"1, 9, 36, 100, 225, ?",441,"1, Pluto, Earth Saturn, Mercury Sun Sun, Venus Venus Jupiter, ?"
"9, 6, 19, 14, 39, ?",30,"Pluto, Saturn, Mercury Pluto, Mercury Mars, Earth Pluto, ?"
"13, 17, 26, 42, 67, ...",103,"13, Mercury Uranus, 26, Mars Venus, 67, ..."
"24, 70, 144, 252, 400, ?",594,"Venus Mars, Uranus Sun, Mercury Mars Mars, Venus Jupiter Venus, Mars Sun Sun, ?"
"660, 656, 620, 520, 324, ?",0,"Saturn Saturn Sun, Saturn Jupiter Saturn, Saturn Venus Sun, Jupiter Venus Sun, Earth Venus Mars, ?"
"3, 4, 7, 8, 11, 12, ...",15,"3, Mars, 7, 8, 11, 12, ..."
"8, 27, 125, 343, 1381",1381,"8, Venus Uranus, 125, 343, Mercury Earth Neptune Mercury"
"12, 7, 21, 16, 30, ...",25,"12, 7, 21, 16, Earth Sun, ..."
"3, 17, 45, 87, 143, ?",213,"Earth, Mercury Uranus, 45, Neptune Uranus, Mercury Mars Earth, ?"
"10, 9, 60, 90, 70, 66, ...",96,"10, Pluto, 60, Pluto Sun, 70, 66, ..."
"14, 25, 47, 91, 179, ...",355,"14, 25, 47, Pluto Mercury, 179, ..."
"15, 22, 40, 75, 133, ?",220,"Mercury Jupiter, Venus Venus, 40, Uranus Jupiter, 133, ?"
"2, 3, 10, 39, 172, ?",885,"2, Earth, Mercury Sun, Earth Pluto, Mercury Uranus Venus, ?"
"50, 45, 40, 35, 30, ...",25,"50, 45, 40, 35, Earth Sun, ..."
"132, 156, ?, 210, 240, 272",182,"132, 156, ?, 210, Venus Mars Sun, Venus Uranus Venus"
"43, 54, 76, 109, 153, ?",208,"Mars Earth, Jupiter Mars, Uranus Saturn, 109, Mercury Jupiter Earth, ?"
"824, 568, 793, 597, 766, ?",622,"Neptune Venus Mars, Jupiter Saturn Neptune, Uranus Pluto Earth, Jupiter Pluto Uranus, Uranus Saturn Saturn, ?"
"3, 10, 24, 50, ?, 170",120,"3, 10, 24, Jupiter Sun, ?, Mercury Uranus Sun"
"46, 57, 70, 81, ?, 105",94,"Mars Saturn, Jupiter Uranus, Uranus Sun, Neptune Mercury, ?, 105"
"5, 36, 191, 966, ?, 24216",4841,"Jupiter, Earth Saturn, Mercury Pluto Mercury, Pluto Saturn Saturn, ?, Venus Mars Venus Mercury Saturn"
"2, 6, 18, 54, ...",162,"Venus, 6, 18, 54, ..."
"452, 790, 1466, 2818, 5522, ?",10930,"452, Uranus Pluto Sun, Mercury Mars Saturn Saturn, Venus Neptune Mercury Neptune, Jupiter Jupiter Venus Venus, ?"
"14, 28, 20, 40, 32, 64, ...",56,"14, 28, 20, 40, 32, Saturn Mars, ..."
"120, 145, ?, 197, 224, 257",168,"Mercury Venus Sun, Mercury Mars Jupiter, ?, Mercury Pluto Uranus, Venus Venus Mars, Venus Jupiter Uranus"
"15, 19, 83, 119, 631, ?",731,"15, Mercury Pluto, 83, Mercury Mercury Pluto, Saturn Earth Mercury, ?"
"6, 11, 18, 27, ...",38,"6, 11, Mercury Neptune, 27, ..."
"1024, 520, 268, 142, ?, 47.5",79,"Mercury Sun Venus Mars, 520, 268, Mercury Mars Venus, ?, 47.5"
"2, 18, 36, ?, 98, 146, 188",68,"Venus, 18, Earth Saturn, ?, Pluto Neptune, Mercury Mars Saturn, Mercury Neptune Neptune"
"5, 20, 320, 1280, 20480, ?",81920,"Jupiter, Venus Sun, Earth Venus Sun, Mercury Venus Neptune Sun, Venus Sun Mars Neptune Sun, ?"
"1, 5, 19, 81, ...",411,"Mercury, 5, 19, 81, ..."
"21, ?, 52, 80, 119, 171",33,"21, ?, Jupiter Venus, Neptune Sun, Mercury Mercury Pluto, 171"
"5.2, 4.8, 4.4, 4, ...",3.6,"5.2, 4.8, 4.4, Mars, ..."
"625, 663, 755, 745, 863, 835",863,"625, Saturn Saturn Earth, Uranus Jupiter Jupiter, Uranus Mars Jupiter, 863, Neptune Earth Jupiter"
"3, 9, 24, 57, ?, 267, 552",126,"Earth, 9, Venus Mars, Jupiter Uranus, ?, Venus Saturn Uranus, Jupiter Jupiter Venus"
"5, 9, 13, 17, 21, ...",25,"5, 9, Mercury Earth, Mercury Uranus, 21, ..."
"11043, 11056, 11045, 11054, 11047, ?",11052,"11043, Mercury Mercury Sun Jupiter Saturn, Mercury Mercury Sun Mars Jupiter, 11054, Mercury Mercury Sun Mars Uranus, ?"
"105, 118, 111.5, 124.5, 118, ?",131,"Mercury Sun Jupiter, Mercury Mercury Neptune, 111.5, 124.5, Mercury Mercury Neptune, ?"
"25, 33, 54, 99, 179, ?",305,"Venus Jupiter, Earth Earth, 54, 99, Mercury Uranus Pluto, ?"
"143, 151, 158, 172, 182, ?",193,"Mercury Mars Earth, 151, 158, Mercury Uranus Venus, Mercury Neptune Venus, ?"
"144, 153, 171, 207, 279, ?",423,"Mercury Mars Mars, Mercury Jupiter Earth, Mercury Uranus Mercury, Venus Sun Uranus, Venus Uranus Pluto, ?"
"7, 11, 15, 19, 23, ...",27,"7, Mercury Mercury, 15, Mercury Pluto, 23, ..."
"2, 5, 12.5, ...",31.25,"Venus, 5, 12.5, ..."
"86, 87, 92, 98, 106",87,"Neptune Saturn, Neptune Uranus, Pluto Venus, Pluto Neptune, 106"
"3, 7, 15, 31, ?, 127",53,"Earth, Uranus, Mercury Jupiter, Earth Mercury, ?, Mercury Venus Uranus"
"9, 24, 69, 204, 609, ?",1824,"Pluto, 24, 69, 204, Saturn Sun Pluto, ?"
"3, 11, 29, 67, 145, ?",303,"Earth, Mercury Mercury, 29, 67, Mercury Mars Jupiter, ?"
"4, 20, 29, 38, 47, 56, ?",65,"4, 20, Venus Pluto, 38, Mars Uranus, 56, ?"
"2, 3, 14, 69, 340, ?",1825,"Venus, Earth, Mercury Mars, 69, Earth Mars Sun, ?"
"4, 5, 18, 19, 68, 69, ...",262,"Mars, 5, Mercury Neptune, 19, 68, 69, ..."
"11, 12, 39, 164, 507, ?",1236,"Mercury Mercury, Mercury Venus, Earth Pluto, Mercury Saturn Mars, Jupiter Sun Uranus, ?"
"26, 58, 127, 264, 625, 1016",625,"26, Jupiter Neptune, Mercury Venus Uranus, Venus Saturn Mars, Saturn Venus Jupiter, Mercury Sun Mercury Saturn"
"2, 6, 12, 20, ...",30,"Venus, 6, 12, 20, ..."
"0, 4, 12, 76, ?",2766,"Sun, Mars, Mercury Venus, Uranus Saturn, ?"
"4, 4, 11, 37, 100, ?",224,"Mars, Mars, Mercury Mercury, 37, 100, ?"
"62, 74, 80, 86, 95, ..., 158",113,"62, 74, Neptune Sun, Neptune Saturn, 95, ..., 158"
"35, 65, ?, 725, 3605, 21605, 151205",185,"Earth Jupiter, Saturn Jupiter, ?, 725, Earth Saturn Sun Jupiter, Venus Mercury Saturn Sun Jupiter, Mercury Jupiter Mercury Venus Sun Jupiter"
"88, 115, 144, 175, 208, ?",234,"Neptune Neptune, Mercury Mercury Jupiter, Mercury Mars Mars, Mercury Uranus Jupiter, Venus Sun Neptune, ?"
"4, 2, 2, 3, 6, ?",15,"Mars, Venus, 2, Earth, Saturn, ?"
"2, 4, 8, 10, 14, ...",16,"2, 4, 8, Mercury Sun, 14, ..."
"76, 304, ?, 43776, 1094400, 39398400",2736,"Uranus Saturn, Earth Sun Mars, ?, Mars Earth Uranus Uranus Saturn, Mercury Sun Pluto Mars Mars Sun Sun, Earth Pluto Earth Pluto Neptune Mars Sun Sun"
"4, 18, ?, 100, 180, 294, 448",48,"4, Mercury Neptune, ?, Mercury Sun Sun, 180, 294, 448"
"60, 90, 180, 450, 1360, 4725",1360,"60, Pluto Sun, Mercury Neptune Sun, Mars Jupiter Sun, Mercury Earth Saturn Sun, Mars Uranus Venus Jupiter"
"2, 12, 36, 80, 150, 252, ?",392,"Venus, 12, Earth Saturn, 80, 150, Venus Jupiter Venus, ?"
"2048, 516, 1032, 262, ?, 135, 270",524,"2048, Jupiter Mercury Saturn, Mercury Sun Earth Venus, Venus Saturn Venus, ?, Mercury Earth Jupiter, Venus Uranus Sun"
"2, 10, 30, 68, 130, ?",222,"Venus, 10, 30, Saturn Neptune, Mercury Earth Sun, ?"
"201, 196, 181, 146, 121, 76, 21",146,"Venus Sun Mercury, 196, Mercury Neptune Mercury, 146, Mercury Venus Mercury, 76, Venus Mercury"
"32, 24, 20, 18, 17, ?",16.5,"Earth Venus, 24, Venus Sun, Mercury Neptune, 17, ?"
"11, 121, 15, ...",225,"Mercury Mercury, Mercury Venus Mercury, 775 771"
"24, 31, 52, 87, 136, ?",199,"Venus Mars, Earth Mercury, 771 561, 767 670, 775 532 669"
"19, 32, 48, 71, 99, 134",48,"775 564, Earth Venus, 435 767, Uranus Mercury, 564 564, 775 532 435"
"524, 260, 128, 62, ?, 12.5",29,"771 561 435, Venus Saturn Sun, 775 561 767, Saturn Venus, 775 561 771"
"27, 35, 47, 63, 83, ?",105,"561 670, 532 771, 435 670, 669 532, 767 532"
"133, 207, 353, 501, 741, ?",987,"775 532 532, 561 342 670, 532 771 532, 771 342 775, 670 435 775"
"13, 15, 21, 37, 77, 173, ?",397,"775 532, Mercury Jupiter, 561 775, Earth Uranus, Uranus Uranus, Mercury Uranus Earth"
"5, 10, 30, 150, 600, 3600",150,"Jupiter, 775 342, 532 342, 775 771 342, 669 342 342, 532 669 342 342"
"16800, 4200, 1050, 262.5, ?, 16.40625",65.625,"775 669 767 342 342, 435 561 342 342, 775 342 771 342, 561 669 561 771, 775 669 435 342 669 561 771"
"4, 20, 51, 105, ?, 314",190,"Mars, Venus Sun, 771 775, 775 342 771, 532 775 435"
"3, 5, 5, 19, 7, 41, 9, ...",71,"Earth, 771, Jupiter, Mercury Pluto, Uranus, 435 775, Pluto"
"225, 236, 260, 301, 355, 430",301,"Venus Venus Jupiter, 561 532 669, 561 669 342, 532 342 775, 532 771 771, 435 532 342"
"9, 265, 393, 457, 489, ?",505,"564, 561 669 771, 532 564 532, 435 771 670, 435 767 564"
"43, 47, 56, 81, 130, ?",251,"Mars Earth, 435 670, 771 669, Neptune Mercury, 775 532 342"
"40, 45, 135, 442.5, 1285, 3837.5",135,"435 342, Mars Jupiter, 775 532 771, Mars Mars Venus Jupiter, 775 561 767 771, 532 767 532 670 771"
"13, 15, 19, 27, 43, ?",75,"775 532, 775 771, Mercury Pluto, Venus Uranus, 435 532"
"2, 4, 10, 34, 152, 874",152,"Venus, Mars, 775 342, 532 435, 775 771 561, 767 670 435"
"1, 2, 6, 15, ..., 56, 92",31,"Mercury, 561, 669, Mercury Jupiter, Jupiter Saturn, Pluto Venus"
"121, 145, 171, 199, 229, 264",264,"775 561 775, 775 435 771, 775 670 775, 775 564 564, Venus Venus Pluto, 561 669 435"
"8, 39, 79, 394, 789, ?",3944,"767, 532 564, 670 564, 532 564 435, 670 767 564"
"4, 9, 6, 11, 8, ...",13,"Mars, Pluto, Saturn, 775 775, Neptune"
"9, 11, 14, 16, 19, 21, ...",24,"Pluto, 775 775, Mercury Mars, Mercury Saturn, 775 564, Venus Mercury"
"125, 126, 130, 139, 155, 180, ?",216,"775 561 771, Mercury Venus Saturn, 775 532 342, Mercury Earth Pluto, 775 771 771, 775 767 342"
"156, 145, 123, 90, 46, ?",-9,"775 771 669, 775 435 771, 775 561 532, 564 342, 435 669"
"31, 17, 26, 64.5, ?, 1006.6",224.25,"532 775, 775 670, 561 669, 669 435 771, 775 342 342 669 669"
"7, 6, 3, -6, ?, -114",-33,"670, 669, 532, 669, 775 775 435"
"2, 5, 10, 50, 500, 5000",5000,"Venus, 771, Mercury Sun, Jupiter Sun, 771 342 342, Jupiter Sun Sun Sun"
"1, 4, 9, 16, ...",25,"Mercury, Mars, 564, Mercury Saturn"
"1.5, 2.3, 3.1, 3.9, ...",4.7,"775 771, Venus Earth, Earth Mercury, Earth Pluto"
"3, 16, 45, 96, 175, ?",288,"532, 775 669, Mars Jupiter, Pluto Saturn, 775 670 771"
"1, 30, 5, 26, 9, 22, 13, 18, ...",17,"Mercury, Earth Sun, Jupiter, Venus Saturn, Pluto, Venus Venus, 775 532, Mercury Neptune"
"5, 3, 6, 9, ?, 15",12,"771, 532, 669, 564, Mercury Jupiter"
"11, 12, 15, 20, 27, ...",36,"Mercury Mercury, Mercury Venus, Mercury Jupiter, 561 342, Venus Uranus"
"1, 9, 36, 100, 225, ?",441,"775, Pluto, 532 669, 775 342 342, 561 561 771"
"9, 6, 19, 14, 39, ?",30,"564, 669, 775 564, 775 435, 532 564"
"13, 17, 26, 42, 67, ...",103,"Mercury Earth, 775 670, Venus Saturn, 435 561, Saturn Uranus"
"24, 70, 144, 252, 400, ?",594,"561 435, 670 342, 775 435 435, 561 771 561, 435 342 342"
"660, 656, 620, 520, 324, ?",0,"669 669 342, 669 771 669, 669 561 342, 771 561 342, 532 561 435"
"3, 4, 7, 8, 11, 12, ...",15,"Earth, 435, Uranus, Neptune, Mercury Mercury, Mercury Venus"
"8, 27, 125, 343, 1381",1381,"Neptune, 561 670, Mercury Venus Jupiter, Earth Mars Earth, 775 532 767 775"
"12, 7, 21, 16, 30, ...",25,"Mercury Venus, Uranus, Venus Mercury, Mercury Saturn, 532 342"
"3, 17, 45, 87, 143, ?",213,"532, 775 670, Mars Jupiter, 767 670, 775 435 532"
"10, 9, 60, 90, 70, 66, ...",96,"Mercury Sun, 564, Saturn Sun, 564 342, Uranus Sun, Saturn Saturn"
"14, 25, 47, 91, 179, ...",355,"Mercury Mars, Venus Jupiter, Mars Uranus, Pluto Mercury, 775 670 564"
"15, 22, 40, 75, 133, ?",220,"Mercury Jupiter, 561 561, 435 342, 670 771, Mercury Earth Earth"
"2, 3, 10, 39, 172, ?",885,"561, 532, 775 342, 532 564, Mercury Uranus Venus"
"50, 45, 40, 35, 30, ...",25,"771 342, Mars Jupiter, Mars Sun, Earth Jupiter, Earth Sun"
"132, 156, ?, 210, 240, 272",182,"Mercury Earth Venus, Mercury Jupiter Saturn, Venus Mercury Sun, 561 435 342, 561 670 561"
"43, 54, 76, 109, 153, ?",208,"435 532, 771 435, 670 669, Mercury Sun Pluto, 775 771 532"
"824, 568, 793, 597, 766, ?",622,"767 561 435, 771 669 767, 670 564 532, 771 564 670, 670 669 669"
"3, 10, 24, 50, ?, 170",120,"Earth, Mercury Sun, Venus Mars, 771 342, 775 670 342"
"46, 57, 70, 81, ?, 105",94,"Mars Saturn, 771 670, 670 342, 767 775, 775 342 771"
"5, 36, 191, 966, ?, 24216",4841,"771, 532 669, 775 564 775, 564 669 669, 561 435 561 775 669"
"2, 6, 18, 54, ...",162,"Venus, 669, Mercury Neptune, Jupiter Mars"
"452, 790, 1466, 2818, 5522, ?",10930,"435 771 561, Uranus Pluto Sun, 775 435 669 669, 561 767 775 767, 771 771 561 561"
"14, 28, 20, 40, 32, 64, ...",56,"Mercury Mars, Venus Neptune, Venus Sun, Mars Sun, 532 561, Saturn Mars"
"120, 145, ?, 197, 224, 257",168,"775 561 342, 775 435 771, 775 564 670, 561 561 435, 561 771 670"
"15, 19, 83, 119, 631, ?",731,"775 771, 775 564, Neptune Earth, 775 775 564, Saturn Earth Mercury"
"6, 11, 18, 27, ...",38,"Saturn, Mercury Mercury, 775 767, Venus Uranus"
"1024, 520, 268, 142, ?, 47.5",79,"775 342 561 435, Jupiter Venus Sun, Venus Saturn Neptune, Mercury Mars Venus, 435 670 771"
"2, 18, 36, ?, 98, 146, 188",68,"561, 775 767, 532 669, 564 767, 775 435 669, Mercury Neptune Neptune"
"5, 20, 320, 1280, 20480, ?",81920,"771, 561 342, 532 561 342, 775 561 767 342, 561 342 435 767 342"
"1, 5, 19, 81, ...",411,"775, Jupiter, Mercury Pluto, Neptune Mercury"
"21, ?, 52, 80, 119, 171",33,"561 775, Jupiter Venus, Neptune Sun, 775 775 564, 775 670 775"
"5.2, 4.8, 4.4, 4, ...",3.6,"Jupiter Venus, 435 767, Mars Mars, Mars"
"625, 663, 755, 745, 863, 835",863,"Saturn Venus Jupiter, 669 669 532, 670 771 771, 670 435 771, Neptune Saturn Earth, 767 532 771"
"3, 9, 24, 57, ?, 267, 552",126,"532, 564, Venus Mars, 771 670, 561 669 670, 771 771 561"
"5, 9, 13, 17, 21, ...",25,"Jupiter, Pluto, 775 532, 775 670, Venus Mercury"
"11043, 11056, 11045, 11054, 11047, ?",11052,"775 775 342 435 532, 775 775 342 771 669, Mercury Mercury Sun Mars Jupiter, 775 775 342 771 435, Mercury Mercury Sun Mars Uranus"
"105, 118, 111.5, 124.5, 118, ?",131,"775 342 771, 775 775 767, Mercury Mercury Mercury Jupiter, 775 561 435 771, 775 775 767"
"25, 33, 54, 99, 179, ?",305,"561 771, Earth Earth, 771 435, Pluto Pluto, 775 670 564"
"143, 151, 158, 172, 182, ?",193,"775 435 532, Mercury Jupiter Mercury, Mercury Jupiter Neptune, 775 670 561, 775 767 561"
"144, 153, 171, 207, 279, ?",423,"775 435 435, 775 771 532, 775 670 775, 561 342 670, 561 670 564"
"7, 11, 15, 19, 23, ...",27,"Uranus, 775 775, Mercury Jupiter, 775 564, Venus Earth"
"2, 5, 12.5, ...",31.25,"Venus, Jupiter, 775 561 771"
"86, 87, 92, 98, 106",87,"767 669, 767 670, 564 561, 564 767, Mercury Sun Saturn"
"3, 7, 15, 31, ?, 127",53,"532, 670, 775 771, 532 775, 775 561 670"
"9, 24, 69, 204, 609, ?",1824,"564, Venus Mars, 669 564, Venus Sun Mars, Saturn Sun Pluto"
"3, 11, 29, 67, 145, ?",303,"532, Mercury Mercury, 561 564, Saturn Uranus, 775 435 771"
"4, 20, 29, 38, 47, 56, ?",65,"435, Venus Sun, Venus Pluto, Earth Neptune, 435 670, Jupiter Saturn"
"2, 3, 14, 69, 340, ?",1825,"561, 532, 775 435, Saturn Pluto, 532 435 342"
"4, 5, 18, 19, 68, 69, ...",262,"435, Jupiter, 775 767, Mercury Pluto, Saturn Neptune, Saturn Pluto"
"11, 12, 39, 164, 507, ?",1236,"775 775, 775 561, 532 564, 775 669 435, 771 342 670"
"26, 58, 127, 264, 625, 1016",625,"561 669, 771 767, 775 561 670, 561 669 435, 669 561 771, Mercury Sun Mercury Saturn"
"2, 6, 12, 20, ...",30,"561, Saturn, Mercury Venus, Venus Sun"
"0, 4, 12, 76, ?",2766,"342, 435, 775 561, 670 669"
"4, 4, 11, 37, 100, ?",224,"435, Mars, 775 775, 532 670, Mercury Sun Sun"
"62, 74, 80, 86, 95, ..., 158",113,"Saturn Venus, Uranus Mars, 767 342, 767 669, Pluto Jupiter, Mercury Jupiter Neptune"
"35, 65, ?, 725, 3605, 21605, 151205",185,"532 771, 669 771, Uranus Venus Jupiter, 532 669 342 771, 561 775 669 342 771, 775 771 775 561 342 771"
"88, 115, 144, 175, 208, ?",234,"767 767, 775 775 771, 775 435 435, 775 670 771, 561 342 767"
"4, 2, 2, 3, 6, ?",15,"435, Venus, 561, 532, 669"
"2, 4, 8, 10, 14, ...",16,"Venus, Mars, Neptune, 775 342, Mercury Mars"
"76, 304, ?, 43776, 1094400, 39398400",2736,"670 669, 532 342 435, 435 532 670 670 669, 775 342 564 435 435 342 342, 532 564 532 564 767 435 342 342"
"4, 18, ?, 100, 180, 294, 448",48,"Mars, 775 767, 775 342 342, Mercury Neptune Sun, Venus Pluto Mars, Mars Mars Neptune"
"60, 90, 180, 450, 1360, 4725",1360,"669 342, 564 342, Mercury Neptune Sun, 435 771 342, 775 532 669 342, 435 670 561 771"
"2, 12, 36, 80, 150, 252, ?",392,"Venus, 775 561, 532 669, Neptune Sun, 775 771 342, Venus Jupiter Venus"
"2048, 516, 1032, 262, ?, 135, 270",524,"561 342 435 767, 771 775 669, 775 342 532 561, 561 669 561, Mercury Earth Jupiter, 561 670 342"
"2, 10, 30, 68, 130, ?",222,"Venus, 775 342, 532 342, Saturn Neptune, 775 532 342"
"201, 196, 181, 146, 121, 76, 21",146,"561 342 775, Mercury Pluto Saturn, Mercury Neptune Mercury, 775 435 669, 775 561 775, 670 669, Venus Mercury"
"32, 24, 20, 18, 17, ?",16.5,"532 561, 561 435, Venus Sun, Mercury Neptune, 775 670"
"11, 121, 15, ...",225,"c4ca4238a0b923820dcc509a6f75849b c4ca4238a0b923820dcc509a6f75849b, 121, 15, ..."
"24, 31, 52, 87, 136, ?",199,"c81e728d9d4c2f636f067f89cc14862c a87ff679a2f3e71d9181a67b7542122c, 31, 52, c9f0f895fb98ab9159f51fd0297e236d 8f14e45fceea167a5a36dedd4bea2543, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 1679091c5a880faf6fb5e6087eb1b2dc, ?"
"19, 32, 48, 71, 99, 134",48,"c4ca4238a0b923820dcc509a6f75849b 45c48cce2e2d7fbdea1afc51c7c6ad26, 32, a87ff679a2f3e71d9181a67b7542122c c9f0f895fb98ab9159f51fd0297e236d, 8f14e45fceea167a5a36dedd4bea2543 c4ca4238a0b923820dcc509a6f75849b, 99, c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 a87ff679a2f3e71d9181a67b7542122c"
"524, 260, 128, 62, ?, 12.5",29,"524, c81e728d9d4c2f636f067f89cc14862c 1679091c5a880faf6fb5e6087eb1b2dc cfcd208495d565ef66e7dff9f98764da, c4ca4238a0b923820dcc509a6f75849b c81e728d9d4c2f636f067f89cc14862c c9f0f895fb98ab9159f51fd0297e236d, 1679091c5a880faf6fb5e6087eb1b2dc c81e728d9d4c2f636f067f89cc14862c, ?, 12.5"
"27, 35, 47, 63, 83, ?",105,"c81e728d9d4c2f636f067f89cc14862c 8f14e45fceea167a5a36dedd4bea2543, eccbc87e4b5ce2fe28308fd9f2a7baf3 e4da3b7fbbce2345d7772b0674a318d5, a87ff679a2f3e71d9181a67b7542122c 8f14e45fceea167a5a36dedd4bea2543, 1679091c5a880faf6fb5e6087eb1b2dc eccbc87e4b5ce2fe28308fd9f2a7baf3, c9f0f895fb98ab9159f51fd0297e236d eccbc87e4b5ce2fe28308fd9f2a7baf3, ?"
"133, 207, 353, 501, 741, ?",987,"c4ca4238a0b923820dcc509a6f75849b eccbc87e4b5ce2fe28308fd9f2a7baf3 eccbc87e4b5ce2fe28308fd9f2a7baf3, c81e728d9d4c2f636f067f89cc14862c cfcd208495d565ef66e7dff9f98764da 8f14e45fceea167a5a36dedd4bea2543, eccbc87e4b5ce2fe28308fd9f2a7baf3 e4da3b7fbbce2345d7772b0674a318d5 eccbc87e4b5ce2fe28308fd9f2a7baf3, e4da3b7fbbce2345d7772b0674a318d5 cfcd208495d565ef66e7dff9f98764da c4ca4238a0b923820dcc509a6f75849b, 8f14e45fceea167a5a36dedd4bea2543 a87ff679a2f3e71d9181a67b7542122c c4ca4238a0b923820dcc509a6f75849b, ?"
"13, 15, 21, 37, 77, 173, ?",397,"13, 15, c81e728d9d4c2f636f067f89cc14862c c4ca4238a0b923820dcc509a6f75849b, eccbc87e4b5ce2fe28308fd9f2a7baf3 8f14e45fceea167a5a36dedd4bea2543, 77, 173, ?"
"5, 10, 30, 150, 600, 3600",150,"e4da3b7fbbce2345d7772b0674a318d5, c4ca4238a0b923820dcc509a6f75849b cfcd208495d565ef66e7dff9f98764da, eccbc87e4b5ce2fe28308fd9f2a7baf3 cfcd208495d565ef66e7dff9f98764da, c4ca4238a0b923820dcc509a6f75849b e4da3b7fbbce2345d7772b0674a318d5 cfcd208495d565ef66e7dff9f98764da, 1679091c5a880faf6fb5e6087eb1b2dc cfcd208495d565ef66e7dff9f98764da cfcd208495d565ef66e7dff9f98764da, 3600"
