number_series,answer,obfuscation,obfuscation_ground_truth
"4, 9, 6, 11, 8, ...",13,"Mars, Pluto, Saturn, Mercury Mercury, Neptune, ",Mercury Earth
"12, 7, 21, 16, 30, ...",25,"Mercury Venus, Uranus, Venus Mercury, Mercury Saturn, Earth Sun, ",Venus Jupiter
"101, 99, 96, 91, ?",84,"Mercury Sun Mercury, Pluto Pluto, Pluto Saturn, Pluto Mercury, ",Neptune Mars
"97, 97, 82, 82, 67, 67, ...",52,"Pluto Uranus, Pluto Uranus, Neptune Venus, Neptune Venus, Saturn Uranus, Saturn Uranus, ",Jupiter Venus
"109, 190, 239, 264, 273, ...",274,"Mercury Sun Pluto, Mercury Pluto Sun, Venus Earth Pluto, Venus Saturn Mars, Venus Uranus Earth, ",Venus Uranus Mars
"123, 98, 82, 73, 69, ...",68,"Mercury Venus Earth, Pluto Neptune, Neptune Venus, Uranus Earth, Saturn Pluto, ",Saturn Neptune
"47, 56, 74, 101, 137, ...",182,"Mars Uranus, Jupiter Saturn, Uranus Mars, Mercury Sun Mercury, Mercury Earth Uranus, ",Mercury Neptune Venus
"13, 14, 23, 48, 97, 178, ...",299,"Mercury Earth, Mercury Mars, Venus Earth, Mars Neptune, Pluto Uranus, Mercury Uranus Neptune, ",Venus Pluto Pluto
"24, 40, 64, 104, ..., 312",176,"Venus Mars, Mars Sun, Saturn Mars, Mercury Sun Mars, , Earth Mercury Venus",Mercury Uranus Saturn
"11, 13, 19, 49, 109, 239, ...",449,"Mercury Mercury, Mercury Earth, Mercury Pluto, Mars Pluto, Mercury Sun Pluto, Venus Earth Pluto, ",Mars Mars Pluto
"4, 5, 18, 19, 68, 69, ...",262,"Mars, Jupiter, Mercury Neptune, Mercury Pluto, Saturn Neptune, Saturn Pluto, ",Venus Saturn Venus
"6, 16, 29, 62, 121, ...",246,"Saturn, Mercury Saturn, Venus Pluto, Saturn Venus, Mercury Venus Mercury, ",Venus Mars Saturn
"62, 74, 80, 86, 95, ..., 158",113,"Saturn Venus, Uranus Mars, Neptune Sun, Neptune Saturn, Pluto Jupiter, , Mercury Jupiter Neptune",Mercury Mercury Earth
"18, 24, 84, 294, 798, ...",1788,"Mercury Neptune, Venus Mars, Neptune Mars, Venus Pluto Mars, Uranus Pluto Neptune, ",Mercury Uranus Neptune Neptune
"19, 38, 35, ..., 135, 810",140,"Mercury Pluto, Earth Neptune, Earth Jupiter, , Mercury Earth Jupiter, Neptune Mercury Sun",Mercury Mars Sun
"1, 2, 6, 15, ..., 56, 92",31,"Mercury, Venus, Saturn, Mercury Jupiter, , Jupiter Saturn, Pluto Venus",Earth Mercury
"5, 18, 70, 278, ...",1110,"Jupiter, Mercury Neptune, Uranus Sun, Venus Uranus Neptune, ",Mercury Mercury Mercury Sun
"3, 5, 5, 19, 7, 41, 9, ...",71,"Earth, Jupiter, Jupiter, Mercury Pluto, Uranus, Mars Mercury, Pluto, ",Uranus Mercury
"4, 18, ..., 100, 180, 294, 448",48,"Mars, Mercury Neptune, , Mercury Sun Sun, Mercury Neptune Sun, Venus Pluto Mars, Mars Mars Neptune",Mars Neptune
"1, 2, 6, 15, 31, 56, 91",91,"Mercury, Venus, Saturn, Mercury Jupiter, Earth Mercury, Jupiter Saturn, Pluto Mercury",Pluto Mercury
"132, 156, ..., 210, 240, 272",182,"Mercury Earth Venus, Mercury Jupiter Saturn, , Venus Mercury Sun, Venus Mars Sun, Venus Uranus Venus",Mercury Neptune Venus
"10, 9, 60, 90, 70, 66, ...",96,"Mercury Sun, Pluto, Saturn Sun, Pluto Sun, Uranus Sun, Saturn Saturn, ",Pluto Saturn
"5, 9, 13, 17, 21, ...",25,"Jupiter, Pluto, Mercury Earth, Mercury Uranus, Venus Mercury, ",Venus Jupiter
"8, 27, 125, 343, 1381",1381,"Neptune, Venus Uranus, Mercury Venus Jupiter, Earth Mars Earth, Mercury Earth Neptune Mercury",Mercury Earth Neptune Mercury
"102, 85, 68, 51, ...",34,"Mercury Sun Venus, Neptune Jupiter, Saturn Neptune, Jupiter Mercury, ",Earth Mars
"1, 3, 5, 7, ...",9,"Mercury, Earth, Jupiter, Uranus, ",Pluto
"964, ?, 241, 120.5, 60.25",482,"Pluto Saturn Mars, , Venus Mars Mercury, Mercury Venus Sun Jupiter, Saturn Sun Venus Jupiter",Mars Neptune Venus
"24, 26, 28, ?, 32, 34",30,"Venus Mars, Venus Saturn, Venus Neptune, , Earth Venus, Earth Mars",Earth Sun
"9, 11, 14, 16, 19, 21, ...",24,"Pluto, Mercury Mercury, Mercury Mars, Mercury Saturn, Mercury Pluto, Venus Mercury, ",Venus Mars
"21, 55, 19, 50, 17, 45, ...",15,"Venus Mercury, Jupiter Jupiter, Mercury Pluto, Jupiter Sun, Mercury Uranus, Mars Jupiter, ",Mercury Jupiter
"13, 17, 26, 42, 67, ...",103,"Mercury Earth, Mercury Uranus, Venus Saturn, Mars Venus, Saturn Uranus, ",Mercury Sun Earth
"13, 10, 7, 4, ...",1,"Mercury Earth, Mercury Sun, Uranus, Mars, ",Mercury
"7, 11, 15, 19, 23, ...",27,"Uranus, Mercury Mercury, Mercury Jupiter, Mercury Pluto, Venus Earth, ",Venus Uranus
"4, 18, ?, 100, 180, 294, 448",48,"Mars, Mercury Neptune, , Mercury Sun Sun, Mercury Neptune Sun, Venus Pluto Mars, Mars Mars Neptune",Mars Neptune
"3, 5, 5, 19, 7, 41, 9, ...",71,"Earth, Jupiter, Jupiter, Mercury Pluto, Uranus, Mars Mercury, Pluto, ",Uranus Mercury
"1, 2, 3, 10, ?, 9802",99,"Mercury, Venus, Earth, Mercury Sun, , Pluto Neptune Sun Venus",Pluto Pluto
"1, 2, 6, 15, 31, 56, 91",91,"Mercury, Venus, Saturn, Mercury Jupiter, Earth Mercury, Jupiter Saturn, Pluto Mercury",Pluto Mercury
"132, 156, ?, 210, 240, 272",182,"Mercury Earth Venus, Mercury Jupiter Saturn, , Venus Mercury Sun, Venus Mars Sun, Venus Uranus Venus",Mercury Neptune Venus
"2, 3, 4, 4, 6, 8, 9, 12, 16",9,"Venus, Earth, Mars, Mars, Saturn, Neptune, Pluto, Mercury Venus, Mercury Saturn",Pluto
"2, 5, 10, 50, 500, 5000",5000,"Venus, Jupiter, Mercury Sun, Jupiter Sun, Jupiter Sun Sun, Jupiter Sun Sun Sun",Jupiter Sun Sun Sun
"3, 8, 15, 24, 34, 48, 63",34,"Earth, Neptune, Mercury Jupiter, Venus Mars, Earth Mars, Mars Neptune, Saturn Earth",Earth Mars
"1024, 520, 268, 142, ?, 47.5",79,"Mercury Sun Venus Mars, Jupiter Venus Sun, Venus Saturn Neptune, Mercury Mars Venus, , Mars Uranus Jupiter",Uranus Pluto
"32, 16.5, 17.5, 27.75, 57.5, ?",146.25,"Earth Venus, Mercury Saturn Jupiter, Mercury Uranus Jupiter, Venus Uranus Uranus Jupiter, Jupiter Uranus Jupiter, ",Mercury Mars Saturn Venus Jupiter
"6, 16, 34, 62, 102, ?",156,"Saturn, Mercury Saturn, Earth Mars, Saturn Venus, Mercury Sun Venus, ",Mercury Jupiter Saturn
"100, 101, 102, 101, 96, ?, 66",85,"Mercury Sun Sun, Mercury Sun Mercury, Mercury Sun Venus, Mercury Sun Mercury, Pluto Saturn, , Saturn Saturn",Neptune Jupiter
"3, 10, 24, 50, ?, 170",120,"Earth, Mercury Sun, Venus Mars, Jupiter Sun, , Mercury Uranus Sun",Mercury Venus Sun
"32, 35, 64, 71, 104, ?, 152",115,"Earth Venus, Earth Jupiter, Saturn Mars, Uranus Mercury, Mercury Sun Mars, , Mercury Jupiter Venus",Mercury Mercury Jupiter
"4, 20, 29, 38, 47, 56, ?",65,"Mars, Venus Sun, Venus Pluto, Earth Neptune, Mars Uranus, Jupiter Saturn, ",Saturn Jupiter
"9, 24, 69, 204, 609, ?",1824,"Pluto, Venus Mars, Saturn Pluto, Venus Sun Mars, Saturn Sun Pluto, ",Mercury Neptune Venus Mars
"582, 751, 555, 724, 528, ?",697,"Jupiter Neptune Venus, Uranus Jupiter Mercury, Jupiter Jupiter Jupiter, Uranus Venus Mars, Jupiter Venus Neptune, ",Saturn Pluto Uranus
"14, 33, 71, 128, 204, ?",,"Mercury Mars, Earth Earth, Uranus Mercury, Mercury Venus Neptune, Venus Sun Mars, ",
"8, 12, 18, 27, 40.5, 60.75, ?",91.125,"Neptune, Mercury Venus, Mercury Neptune, Venus Uranus, Mars Sun Jupiter, Saturn Sun Uranus Jupiter, ",Pluto Mercury Mercury Venus Jupiter
"13, 15, 21, 37, 77, 173, ?",397,"Mercury Earth, Mercury Jupiter, Venus Mercury, Earth Uranus, Uranus Uranus, Mercury Uranus Earth, ",Earth Pluto Uranus
"8648, 8834, 9022, 9212, 9404, 9598, ?",9794,"Neptune Saturn Mars Neptune, Neptune Neptune Earth Mars, Pluto Sun Venus Venus, Pluto Venus Mercury Venus, Pluto Mars Sun Mars, Pluto Jupiter Pluto Neptune, ",Pluto Uranus Pluto Mars
"23, 21, 45, 131, 529, ?, 15841",2639,"Venus Earth, Venus Mercury, Mars Jupiter, Mercury Earth Mercury, Jupiter Venus Pluto, , Mercury Jupiter Neptune Mars Mercury",Venus Saturn Earth Pluto
"64, 88, 152, 162, 174, ?",202,"Saturn Mars, Neptune Neptune, Mercury Jupiter Venus, Mercury Saturn Venus, Mercury Uranus Mars, ",Venus Sun Venus
"43, 47, 56, 81, 130, ?",251,"Mars Earth, Mars Uranus, Jupiter Saturn, Neptune Mercury, Mercury Earth Sun, ",Venus Jupiter Mercury
"1022, 1009, 983, 944, 892, ?",827,"Mercury Sun Venus Venus, Mercury Sun Sun Pluto, Pluto Neptune Earth, Pluto Mars Mars, Neptune Pluto Venus, ",Neptune Venus Uranus
"1025, 1024, 1019, 1005, 975, ?",920,"Mercury Sun Venus Jupiter, Mercury Sun Venus Mars, Mercury Sun Mercury Pluto, Mercury Sun Sun Jupiter, Pluto Uranus Jupiter, ",Pluto Venus Sun
"196, 201, 208.5, 218.5, 231, ?",246,"Mercury Pluto Saturn, Venus Sun Mercury, Venus Sun Neptune Jupiter, Venus Mercury Neptune Jupiter, Venus Earth Mercury, ",Venus Mars Saturn
"489, 510, 516, 528, 543, 555, ?",570,"Mars Neptune Pluto, Jupiter Mercury Sun, Jupiter Mercury Saturn, Jupiter Venus Neptune, Jupiter Mars Earth, Jupiter Jupiter Jupiter, ",Jupiter Uranus Sun
"81, 91, 109, 146, 221, 351, ?",576,"Neptune Mercury, Pluto Mercury, Mercury Sun Pluto, Mercury Mars Saturn, Venus Venus Mercury, Earth Jupiter Mercury, ",Jupiter Uranus Saturn
"540, 538, 534, 526, 510, ?, 414",478,"Jupiter Mars Sun, Jupiter Earth Neptune, Jupiter Earth Mars, Jupiter Venus Saturn, Jupiter Mercury Sun, , Mars Mercury Mars",Mars Uranus Neptune
"32, 24, 20, 18, 17, ?",16.5,"Earth Venus, Venus Mars, Venus Sun, Mercury Neptune, Mercury Uranus, ",Mercury Saturn Jupiter
"1, 3, 9, 39, 249, 2559, ?",32589,"Mercury, Earth, Pluto, Earth Pluto, Venus Mars Pluto, Venus Jupiter Jupiter Pluto, ",Earth Venus Jupiter Neptune Pluto
"704, 88, 22, 8.25, ?",4.125,"Uranus Sun Mars, Neptune Neptune, Venus Venus, Neptune Venus Jupiter, ",Mars Mercury Venus Jupiter
"2, 10, 30, 68, 130, ?",222,"Venus, Mercury Sun, Earth Sun, Saturn Neptune, Mercury Earth Sun, ",Venus Venus Venus
"1, 4, 15, 28, 57, 88, ?",143,"Mercury, Mars, Mercury Jupiter, Venus Neptune, Jupiter Uranus, Neptune Neptune, ",Mercury Mars Earth
"122, 171, 228, 293, 366, ?",447,"Mercury Venus Venus, Mercury Uranus Mercury, Venus Venus Neptune, Venus Pluto Earth, Earth Saturn Saturn, ",Mars Mars Uranus
"13, 15, 19, 27, 43, ?",75,"Mercury Earth, Mercury Jupiter, Mercury Pluto, Venus Uranus, Mars Earth, ",Uranus Jupiter
"25, 33, 54, 99, 179, ?",305,"Venus Jupiter, Earth Earth, Jupiter Mars, Pluto Pluto, Mercury Uranus Pluto, ",Earth Sun Jupiter
"384, 377, 356, 321, ?, 209",272,"Earth Neptune Mars, Earth Uranus Uranus, Earth Jupiter Saturn, Earth Venus Mercury, , Venus Sun Pluto",Venus Uranus Venus
"5, 9, 16, 32, 75, ?",199,"Jupiter, Pluto, Mercury Saturn, Earth Venus, Uranus Jupiter, ",Mercury Pluto Pluto
"3, 16, 45, 96, 175, ?",288,"Earth, Mercury Saturn, Mars Jupiter, Pluto Saturn, Mercury Uranus Jupiter, ",Venus Neptune Neptune
"3, 11, 29, 67, 145, ?",303,"Earth, Mercury Mercury, Venus Pluto, Saturn Uranus, Mercury Mars Jupiter, ",Earth Sun Earth
"2, 12, 36, 80, 150, 252, ?",392,"Venus, Mercury Venus, Earth Saturn, Neptune Sun, Mercury Jupiter Sun, Venus Jupiter Venus, ",Earth Pluto Venus
"1, 5, 19, 81, 411, ?",2884,"Mercury, Jupiter, Mercury Pluto, Neptune Mercury, Mars Mercury Mercury, ",Venus Neptune Neptune Mars
"9, 20, 36, 78, 148, 306, ?",600,"Pluto, Venus Sun, Earth Saturn, Uranus Neptune, Mercury Mars Neptune, Earth Sun Saturn, ",Saturn Sun Sun
"17, 33, 64, 124, 240, 464, ?",896,"Mercury Uranus, Earth Earth, Saturn Mars, Mercury Venus Mars, Venus Mars Sun, Mars Saturn Mars, ",Neptune Pluto Saturn
"15, 19, 83, 119, 631, ?",731,"Mercury Jupiter, Mercury Pluto, Neptune Earth, Mercury Mercury Pluto, Saturn Earth Mercury, ",Uranus Earth Mercury
"15, 22, 40, 75, 133, ?",220,"Mercury Jupiter, Venus Venus, Mars Sun, Uranus Jupiter, Mercury Earth Earth, ",Venus Venus Sun
"24, 31, 52, 87, 136, ?",199,"Venus Mars, Earth Mercury, Jupiter Venus, Neptune Uranus, Mercury Earth Saturn, ",Mercury Pluto Pluto
"15, 8, 9, ?, 32, 82.5, 250.5",15,"Mercury Jupiter, Neptune, Pluto, , Earth Venus, Neptune Venus Jupiter, Venus Jupiter Sun Jupiter",Mercury Jupiter
"1, 9, 61, 497, 4981, ?",59785,"Mercury, Pluto, Saturn Mercury, Mars Pluto Uranus, Mars Pluto Neptune Mercury, ",Jupiter Pluto Uranus Neptune Jupiter
"2, 5, 23, 119, ?, 4079",659,"Venus, Jupiter, Venus Earth, Mercury Mercury Pluto, , Mars Sun Uranus Pluto",Saturn Jupiter Pluto
"3, 4, 14, 73, 515, ?",4640,"Earth, Mars, Mercury Mars, Uranus Earth, Jupiter Mercury Jupiter, ",Mars Saturn Mars Sun
"7, 16, 30, 62, 122, ?",246,"Uranus, Mercury Saturn, Earth Sun, Saturn Venus, Mercury Venus Venus, ",Venus Mars Saturn
"11043, 11056, 11045, 11054, 11047, ?",11052,"Mercury Mercury Sun Mars Earth, Mercury Mercury Sun Jupiter Saturn, Mercury Mercury Sun Mars Jupiter, Mercury Mercury Sun Jupiter Mars, Mercury Mercury Sun Mars Uranus, ",Mercury Mercury Sun Jupiter Venus
"256, 128, 192, 480, ?, 7560",1680,"Venus Jupiter Saturn, Mercury Venus Neptune, Mercury Pluto Venus, Mars Neptune Sun, , Uranus Jupiter Saturn Sun",Mercury Saturn Neptune Sun
"47, 48, 51, 60, 87, ?",168,"Mars Uranus, Mars Neptune, Jupiter Mercury, Saturn Sun, Neptune Uranus, ",Mercury Saturn Neptune
"147, 148, 150, 159, 223, ?",848,"Mercury Mars Uranus, Mercury Mars Neptune, Mercury Jupiter Sun, Mercury Jupiter Pluto, Venus Venus Earth, ",Neptune Mars Neptune
"145, 158, 119, 184, 93, ?",210,"Mercury Mars Jupiter, Mercury Jupiter Neptune, Mercury Mercury Pluto, Mercury Neptune Mars, Pluto Earth, ",Venus Mercury Sun
"143, 151, 158, 172, 182, ?",193,"Mercury Mars Earth, Mercury Jupiter Mercury, Mercury Jupiter Neptune, Mercury Uranus Venus, Mercury Neptune Venus, ",Mercury Pluto Earth
"47, 78, 115, 164, 231, ?",322,"Mars Uranus, Uranus Neptune, Mercury Mercury Jupiter, Mercury Saturn Mars, Venus Earth Mercury, ",Earth Venus Venus
"19, 61, 31, 47, ?, 19",55,"Mercury Pluto, Saturn Mercury, Earth Mercury, Mars Uranus, , Mercury Pluto",Jupiter Jupiter
"21, ?, 52, 80, 119, 171",33,"Venus Mercury, , Jupiter Venus, Neptune Sun, Mercury Mercury Pluto, Mercury Uranus Mercury",Earth Earth
"768, 576, 432, 324, ?, 182.25",243,"Uranus Saturn Neptune, Jupiter Uranus Saturn, Mars Earth Venus, Earth Venus Mars, , Mercury Neptune Venus Venus Jupiter",Venus Mars Earth
"524, 260, 128, 62, ?, 12.5",29,"Jupiter Venus Mars, Venus Saturn Sun, Mercury Venus Neptune, Saturn Venus, , Mercury Venus Jupiter",Venus Pluto
"4, 4, 11, 37, 100, ?",224,"Mars, Mars, Mercury Mercury, Earth Uranus, Mercury Sun Sun, ",Venus Venus Mars
"4, 20, 51, 105, ?, 314",190,"Mars, Venus Sun, Jupiter Mercury, Mercury Sun Jupiter, , Earth Mercury Mars",Mercury Pluto Sun
"67, ?, 84.5, 97, 112, 129.5, 149.5",77,"Saturn Uranus, , Neptune Mars Jupiter, Pluto Uranus, Mercury Mercury Venus, Mercury Venus Pluto Jupiter, Mercury Mars Pluto Jupiter",Uranus Uranus
"3, 10, ?, 225, 1591, 14334",42,"Earth, Mercury Sun, , Venus Venus Jupiter, Mercury Jupiter Pluto Mercury, Mercury Mars Earth Earth Mars",Mars Venus
"2, 7, 63, 420, ?, 20741",2968,"Venus, Uranus, Saturn Earth, Mars Venus Sun, , Venus Sun Uranus Mars Mercury",Venus Pluto Saturn Neptune
"462, 552, 650, 756, 870, 992, ?",1122,"Mars Saturn Venus, Jupiter Jupiter Venus, Saturn Jupiter Sun, Uranus Jupiter Saturn, Neptune Uranus Sun, Pluto Pluto Venus, ",Mercury Mercury Venus Venus
"17, 23, 83, 293, 797, ?",1787,"Mercury Uranus, Venus Earth, Neptune Earth, Venus Pluto Earth, Uranus Pluto Uranus, ",Mercury Uranus Neptune Uranus
"18, 23, 42, 83, 154, ?",265,"Mercury Neptune, Venus Earth, Mars Venus, Neptune Earth, Mercury Jupiter Mars, ",Venus Saturn Jupiter
"12, 5, 9, 13, 17, ?",21,"Mercury Venus, Jupiter, Pluto, Mercury Earth, Mercury Uranus, ",Venus Mercury
"46, 57, 70, 81, ?, 105",94,"Mars Saturn, Jupiter Uranus, Uranus Sun, Neptune Mercury, , Mercury Sun Jupiter",Pluto Mars
"16, 16, 33, 50, 67, ?",84,"Mercury Saturn, Mercury Saturn, Earth Earth, Jupiter Sun, Saturn Uranus, ",Neptune Mars
"105, 118, 111.5, 124.5, 118, ?",131,"Mercury Sun Jupiter, Mercury Mercury Neptune, Mercury Mercury Mercury Jupiter, Mercury Venus Mars Jupiter, Mercury Mercury Neptune, ",Mercury Earth Mercury
"5, 3, 6, 9, ?, 15",12,"Jupiter, Earth, Saturn, Pluto, , Mercury Jupiter",Mercury Venus
"89, 91, 94, 99, ?, 117",106,"Neptune Pluto, Pluto Mercury, Pluto Mars, Pluto Pluto, , Mercury Mercury Uranus",Mercury Sun Saturn
"970, 849, 768, 719, 694, ?",675,"Pluto Uranus Sun, Neptune Mars Pluto, Uranus Saturn Neptune, Uranus Mercury Pluto, Saturn Pluto Mars, ",Saturn Uranus Jupiter
"40, 59, 97, 173, 325, ?",539,"Mars Sun, Jupiter Pluto, Pluto Uranus, Mercury Uranus Earth, Earth Venus Jupiter, ",Jupiter Earth Pluto
"452, 790, 1466, 2818, 5522, ?",10930,"Mars Jupiter Venus, Uranus Pluto Sun, Mercury Mars Saturn Saturn, Venus Neptune Mercury Neptune, Jupiter Jupiter Venus Venus, ",Mercury Sun Pluto Earth Sun
"10000, 2000, 400, 80, 16, ?",2.5,"Mercury Sun Sun Sun Sun, Venus Sun Sun Sun, Mars Sun Sun, Neptune Sun, Mercury Saturn, ",Venus Jupiter
"2, 10, 42, 170, 682, ?",3030,"Venus, Mercury Sun, Mars Venus, Mercury Uranus Sun, Saturn Neptune Venus, ",Earth Sun Earth Sun
"200, 220, 484, 1597.2, 7027.68, ?",40552.24,"Venus Sun Sun, Venus Venus Sun, Mars Neptune Mars, Mercury Jupiter Pluto Uranus Venus, Uranus Sun Venus Uranus Saturn Neptune, ",Mars Sun Jupiter Jupiter Venus Venus Mars
"10, 11, 26, 87, 364, ?",1845,"Mercury Sun, Mercury Mercury, Venus Saturn, Neptune Uranus, Earth Saturn Mars, ",Mercury Neptune Mars Jupiter
"2, 3, 10, 39, 172, ?",885,"Venus, Earth, Mercury Sun, Earth Pluto, Mercury Uranus Venus, ",Neptune Neptune Jupiter
"4, 2, 3, 7.5, 26.25, ?",118.125,"Mars, Venus, Earth, Uranus Jupiter, Venus Saturn Venus Jupiter, ",Mercury Mercury Neptune Mercury Venus Jupiter
"15, 16, 20, 29, 45, 70, 106, ?",148,"Mercury Jupiter, Mercury Saturn, Venus Sun, Venus Pluto, Mars Jupiter, Uranus Sun, Mercury Sun Saturn, ",Mercury Mars Neptune
"842, ?, 2402, 3480, 4762",1000,"Neptune Mars Venus, , Venus Mars Sun Venus, Earth Mars Neptune Sun, Mars Uranus Saturn Venus",Mercury Sun Sun Sun
"1, 9, 36, 100, 225, ?",441,"Mercury, Pluto, Earth Saturn, Mercury Sun Sun, Venus Venus Jupiter, ",Mars Mars Mercury
"43, 41, 44, 39, 46, ?",37,"Mars Earth, Mars Mercury, Mars Mars, Earth Pluto, Mars Saturn, ",Earth Uranus
